FID;Name;Panjang;STA_AWAL;STA_AKHIR;Kondisi;Tipe_Perke;Lebar_STA
1;4001 - JL. PATIMURA;951,29985818500;0+800;0+900;baik ;aspal;6
2;4002 - JL. LETJEN SUTOYO;767,04205801200;0+600;0+700;baik ;aspal;6
3;4003 - JL. S. TENDEAN;1577,94351783000;1+400;1+500;baik ;aspal;6
4;4004 - JL. DIPONEGORO;1170,07889407000;1+000;1+100;baik ;aspal;6
5;4005 - JL. SINGOLUDRO;1075,21828042000;0+900;1+000;baik ;aspal;6
6;4006 - JL. KOL. MARHADI;695,28340880500;0+500;0+600;baik ;aspal;6
7;4007 - JL. MT. HARYONO;1625,38510805000;1+500;1+600;baik ;aspal;6
8;4008 - JL. H. AGUS SALIM;696,67154366900;0+500;0+600;baik ;aspal;6
9;4009 - JL. FLAMBOYAN;444,84859355300;0+300;0+400;baik ;aspal;6
10;4010 - JL. DAHLIA;118,46596733600;0+100;0+118;baik ;aspal;6
11;4011 - JL. NUSA INDAH;436,39962923100;0+300;0+400;baik ;aspal;6
12;4012 - JL. KENANGA;430,16901950000;0+300;0+400;baik ;aspal;6
13;4013 - JL. ANGGREK;455,82925345400;0+300;0+400;baik ;aspal;6
14;4014 - JL. CEMPAKA;648,53833525500;0+500;0+600;baik ;aspal;6
15;4015 - JL. TANJUNG;205,79138812700;0+100;0+200;baik ;aspal;6
16;4016 - JL. MELATI;262,26581516300;0+100;0+200;baik ;aspal;6
17;4017 - JL. KEMUNING;553,06629999800;0+400;0+500;baik ;aspal;6
18;4018 - JL. SERUNI;386,64964338000;0+200;0+300;baik ;aspal;6
19;4019 - JL. GARUDA;161,76861117900;0+100;0+161;baik ;aspal;6
20;4020 - JL. DR. SUTOMO;665,14385003500;0+500;0+600;baik ;aspal;6
21;4021 - JL. PENANGGUNGAN;234,47697718200;0+100;0+200;baik ;aspal;6
22;4022 - JL. PANDAN;244,76979559900;0+100;0+200;baik ;aspal;6
23;4023 - JL. SEMERU;270,75358416200;0+100;0+200;baik ;aspal;6
24;4024 - JL. RINJANI;205,55865545300;0+100;0+200;baik ;aspal;6
25;4025 - JL. DIENG;375,20757709400;0+200;0+300;baik ;aspal;6
26;4026 - JL. SERAYU;127,20048371000;0+100;0+127;baik ;aspal;6
27;4027 - JL. CISADANE;122,91038172000;0+100;0+122;baik ;aspal;6
28;4028 - JL. MUSI;369,66270448100;0+200;0+300;baik ;aspal;6
29;4029 - JL. CITARUM;129,89632832300;0+100;0+100;baik ;aspal;6
30;4030 - JL. ANJASMORO;247,23504242600;0+100;0+200;baik ;aspal;6
31;4031 - JL. CILIWUNG;377,66743090000;0+200;0+300;baik ;aspal;6
32;4032 - JL. SINGOLUDRO II;599,56119156300;0+400;0+500;baik ;aspal;6
33;4033 - JL. BOGO;834,24218159800;0+700;0+800;baik ;aspal;6
34;4034 - JL. BOGO II;386,53061591800;0+200;0+300;baik ;aspal;6
35;4035 - JL. KAMBOJA;565,32962159700;0+400;0+500;baik ;aspal;6
36;4036 - JL. SRIGADING;492,11393880600;0+300;0+400;baik ;aspal;6
37;4037 - JL. MELATI I;172,51194191300;0+100;0+172;baik ;aspal;6
38;4038 - JL. MELATI II;263,19516325000;0+100;0+200;baik ;aspal;6
39;4039 - JL. KUNTO;2048,21134482000;1+900;2+000;baik ;aspal;6
40;4040 - JL. YOS SUDARSO;199,60171612600;0+100;0+199;baik ;aspal;6
41;4041 - JL. PRAMBANAN;481,86077505400;0+300;0+400;baik ;aspal;6
42;4042 - JL. BOROBUDUR;474,23355585300;0+300;0+400;baik ;aspal;6
43;4043 - JL. KALASAN;465,17438971600;0+300;0+400;baik ;aspal;6
44;4044 - JL. MENDUT;218,26553446300;0+100;0+200;baik ;aspal;6
45;4045 - JL. SALAK;292,61760449500;0+100;0+200;baik ;aspal;6
46;4046 - JL. MANGGA;228,71491476800;0+100;0+200;baik ;aspal;6
47;4047 - JL. SAWO;187,55837507400;0+100;0+187;baik ;aspal;6
48;4048 - JL. STASIUN TIMUR;240,62255904800;0+100;0+200;baik ;aspal;6
49;4049 - JL. SEMANGKA;353,56320842100;0+200;0+300;baik ;aspal;6
50;4050 - JL. KESEMEK;196,63278516800;0+100;0+196;baik ;aspal;6
51;4051 - JL. ANGGUR;252,72524343500;0+100;0+200;baik ;aspal;6
52;4052 - JL. MANGGIS;260,87935805000;0+100;0+200;baik ;aspal;6
53;4053 - JL. MELON;145,74291885800;0+100;0+145;baik ;aspal;6
54;4054 - JL. SIRSAK;145,68679615400;0+100;0+145;baik ;aspal;6
55;4055 - JL. RAMBUTAN;281,67572800300;0+100;0+200;baik ;aspal;6
56;4056 - JL. JAMBU;361,34822618700;0+200;0+300;baik ;aspal;6
57;4057 - JL. BISMO;876,84216251800;0+700;0+800;baik ;aspal;6
58;4058 - JL. PARIKESIT;782,61647842900;0+600;0+700;baik ;aspal;6
59;4059 - JL. BOLODEWO;371,68072955100;0+200;0+300;baik ;aspal;6
60;4060 - JL. KRESNA;457,14735601400;0+300;0+400;baik ;aspal;6
