Name;NO;Awal;STA_AWAL;STA_AKHIR;PANJANG;Kondisi;Tipe_Perke;Lebar_STA
BABADAN LOR I;82;"111?? 36' 53.308"" E";1+100;1+100;1240,00000000000;sedang;aspal;6
BABADAN LOR I;82;"111?? 36' 53.308"" E";0+000;0+100;1240,00000000000;RR;aspal;6
BABADAN LOR I;82;"111?? 36' 53.308"" E";0+100;0+200;1240,00000000000;RB;aspal;6
BABADAN LOR I;82;"111?? 36' 53.308"" E";0+200;0+300;1240,00000000000;baik;aspal;6
BABADAN LOR I;82;"111?? 36' 53.308"" E";0+300;0+400;1240,00000000000;sedang;aspal;6
BABADAN LOR I;82;"111?? 36' 53.308"" E";0+400;0+500;1240,00000000000;RR;aspal;6
BABADAN LOR I;82;"111?? 36' 53.308"" E";0+500;0+600;1240,00000000000;RB;aspal;6
BABADAN LOR I;82;"111?? 36' 53.308"" E";0+600;0+700;1240,00000000000;baik;aspal;6
BABADAN LOR I;82;"111?? 36' 53.308"" E";0+700;0+800;1240,00000000000;sedang;aspal;6
BABADAN LOR I;82;"111?? 36' 53.308"" E";0+800;0+900;1240,00000000000;RR;aspal;6
BABADAN LOR I;82;"111?? 36' 53.308"" E";0+900;1+000;1240,00000000000;RB;aspal;6
BABADAN LOR I;82;"111?? 36' 53.308"" E";1+000;1+100;1240,00000000000;baik;aspal;6
BABADAN LOR I;82;"111?? 36' 53.308"" E";1+200;1+240;1240,00000000000;sedang;aspal;6
BABADAN LOR II;83;"111?? 36' 54.312"" E";0+000;0+100;652,00000000000;RR;aspal;6
BABADAN LOR II;83;"111?? 36' 54.312"" E";0+100;0+200;652,00000000000;RB;aspal;6
BABADAN LOR II;83;"111?? 36' 54.312"" E";0+200;0+300;652,00000000000;baik;aspal;6
BABADAN LOR II;83;"111?? 36' 54.312"" E";0+300;0+400;652,00000000000;sedang;aspal;6
BABADAN LOR II;83;"111?? 36' 54.312"" E";0+400;0+500;652,00000000000;RR;aspal;6
BABADAN LOR II;83;"111?? 36' 54.312"" E";0+500;0+600;652,00000000000;RB;aspal;6
BABADAN LOR II;83;"111?? 36' 54.312"" E";0+600;0+652;652,00000000000;baik;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";0+000;0+100;1466,00000000000;sedang;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";0+100;0+200;1466,00000000000;RR;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";0+200;0+300;1466,00000000000;RB;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";0+300;0+400;1466,00000000000;baik;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";0+400;0+500;1466,00000000000;sedang;aspal;6
BAJULAN;44;"111?? 40' 4.858"" E";0+500;0+600;1466,00000000000;RR;aspal;6
