STA_AWAL,STA_AKHIR,Fungsi,Nm_Ruas,Panjang,No
1+100,1+100,Lingkungan Primer,BABADAN LOR I,1240,1194
0+000,0+100,Lingkungan Primer,BABADAN LOR I,1240,1195
0+100,0+200,Lingkungan Primer,BABADAN LOR I,1240,1196
0+200,0+300,Lingkungan Primer,BABADAN LOR I,1240,1197
0+300,0+400,Lingkungan Primer,BABADAN LOR I,1240,1198
0+400,0+500,Lingkungan Primer,BABADAN LOR I,1240,1199
0+500,0+600,Lingkungan Primer,BABADAN LOR I,1240,1200
0+600,0+700,Lingkungan Primer,BABADAN LOR I,1240,1201
0+700,0+800,Lingkungan Primer,BABADAN LOR I,1240,1202
0+800,0+900,Lingkungan Primer,BABADAN LOR I,1240,1203
0+900,1+000,Lingkungan Primer,BABADAN LOR I,1240,1204
1+000,1+100,Lingkungan Primer,BABADAN LOR I,1240,1205
1+200,1+240,Lingkungan Primer,BABADAN LOR I,1240,1206
0+000,0+100,Lingkungan Primer,BABADAN LOR II,652,1207
0+100,0+200,Lingkungan Primer,BABADAN LOR II,652,1208
0+200,0+300,Lingkungan Primer,BABADAN LOR II,652,1209
0+300,0+400,Lingkungan Primer,BABADAN LOR II,652,1210
0+400,0+500,Lingkungan Primer,BABADAN LOR II,652,1211
0+500,0+600,Lingkungan Primer,BABADAN LOR II,652,1212
0+600,0+652,Lingkungan Primer,BABADAN LOR II,652,1213
0+000,0+100,Lingkungan Primer,BAJULAN,1466,533
0+100,0+200,Lingkungan Primer,BAJULAN,1466,534
0+200,0+300,Lingkungan Primer,BAJULAN,1466,535
0+300,0+400,Lingkungan Primer,BAJULAN,1466,536
0+400,0+500,Lingkungan Primer,BAJULAN,1466,537
0+500,0+600,Lingkungan Primer,BAJULAN,1466,538
0+600,0+700,Lingkungan Primer,BAJULAN,1466,539
0+700,0+800,Lingkungan Primer,BAJULAN,1466,540
0+800,0+900,Lingkungan Primer,BAJULAN,1466,541
0+900,1+000,Lingkungan Primer,BAJULAN,1466,542
1+000,1+100,Lingkungan Primer,BAJULAN,1466,543
1+100,1+200,Lingkungan Primer,BAJULAN,1466,544
1+200,1+300,Lingkungan Primer,BAJULAN,1466,545
1+300,1+400,Lingkungan Primer,BAJULAN,1466,546
1+400,1+466,Lingkungan Primer,BAJULAN,1466,547
0+000,0+100,Lokal Primer,BADER,800,168
0+100,0+200,Lokal Primer,BADER,800,169
0+200,0+300,Lokal Primer,BADER,800,170
0+300,0+400,Lokal Primer,BADER,800,171
0+400,0+500,Lokal Primer,BADER,800,172
0+500,0+600,Lokal Primer,BADER,800,173
0+600,0+630,Lokal Primer,BADER,800,174
0+000,0+100,Lingkungan Primer,BALEREJO I,438,1214
0+100,0+200,Lingkungan Primer,BALEREJO I,438,1215
0+200,0+300,Lingkungan Primer,BALEREJO I,438,1216
0+300,0+400,Lingkungan Primer,BALEREJO I,438,1217
0+400,0+444,Lingkungan Primer,BALEREJO I,438,1218
0+000,0+100,Lokal Primer,BALEREJO II,444,1219
0+100,0+200,Lokal Primer,BALEREJO II,444,1220
0+200,0+300,Lokal Primer,BALEREJO II,444,1221
0+300,0+400,Lokal Primer,BALEREJO II,444,1222
0+400,0+444,Lokal Primer,BALEREJO II,444,1223
0+000,0+100,Lingkungan Primer,BANARAN,1313,1143
0+100,0+200,Lingkungan Primer,BANARAN,1313,1144
0+200,0+300,Lingkungan Primer,BANARAN,1313,1145
0+300,0+400,Lingkungan Primer,BANARAN,1313,1146
0+400,0+500,Lingkungan Primer,BANARAN,1313,1147
0+500,0+600,Lingkungan Primer,BANARAN,1313,1148
0+600,0+700,Lingkungan Primer,BANARAN,1313,1149
0+700,0+800,Lingkungan Primer,BANARAN,1313,1150
0+800,0+900,Lingkungan Primer,BANARAN,1313,1151
0+900,1+000,Lingkungan Primer,BANARAN,1313,1152
1+000,1+100,Lingkungan Primer,BANARAN,1313,1153
1+100,1+200,Lingkungan Primer,BANARAN,1313,1154
1+200,1+300,Lingkungan Primer,BANARAN,1313,1155
1+300,1+312,Lingkungan Primer,BANARAN,1313,1156
0+000,0+100,Lingkungan Primer,BANCONG,1118,956
0+100,0+200,Lingkungan Primer,BANCONG,1118,957
0+200,0+300,Lingkungan Primer,BANCONG,1118,958
0+300,0+400,Lingkungan Primer,BANCONG,1118,959
0+400,0+500,Lingkungan Primer,BANCONG,1118,960
0+500,0+600,Lingkungan Primer,BANCONG,1118,961
0+600,0+700,Lingkungan Primer,BANCONG,1118,962
0+700,0+800,Lingkungan Primer,BANCONG,1118,963
0+800,0+900,Lingkungan Primer,BANCONG,1118,964
0+900,1+000,Lingkungan Primer,BANCONG,1118,965
1+000,1+100,Lingkungan Primer,BANCONG,1118,966
1+100,1+137,Lingkungan Primer,BANCONG,1118,967
0+000,0+100,Lingkungan Primer,BANDUNGAN,719,548
0+100,0+200,Lingkungan Primer,BANDUNGAN,719,549
0+200,0+300,Lingkungan Primer,BANDUNGAN,719,550
0+300,0+400,Lingkungan Primer,BANDUNGAN,719,551
0+400,0+500,Lingkungan Primer,BANDUNGAN,719,552
0+500,0+600,Lingkungan Primer,BANDUNGAN,719,553
0+600,0+700,Lingkungan Primer,BANDUNGAN,719,554
0+700,0+726,Lingkungan Primer,BANDUNGAN,719,555
0+000,0+100,Lingkungan Primer,BANJARSARI KULON,3026,214
0+100,0+200,Lingkungan Primer,BANJARSARI KULON,3026,215
0+200,0+300,Lingkungan Primer,BANJARSARI KULON,3026,216
0+300,0+400,Lingkungan Primer,BANJARSARI KULON,3026,217
0+400,0+500,Lingkungan Primer,BANJARSARI KULON,3026,218
0+500,0+600,Lingkungan Primer,BANJARSARI KULON,3026,219
0+600,0+700,Lingkungan Primer,BANJARSARI KULON,3026,220
0+700,0+800,Lingkungan Primer,BANJARSARI KULON,3026,221
0+800,0+900,Lingkungan Primer,BANJARSARI KULON,3026,222
0+900,1+000,Lingkungan Primer,BANJARSARI KULON,3026,223
1+000,1+100,Lingkungan Primer,BANJARSARI KULON,3026,224
1+100,1+200,Lingkungan Primer,BANJARSARI KULON,3026,225
1+200,1+300,Lingkungan Primer,BANJARSARI KULON,3026,226
1+300,1+400,Lingkungan Primer,BANJARSARI KULON,3026,227
1+400,1+500,Lingkungan Primer,BANJARSARI KULON,3026,228
1+500,1+600,Lingkungan Primer,BANJARSARI KULON,3026,229
