Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Fungsi
Jl. Pilangkenceng-Pulerejo,123,1.680,1+500,1+600,5724,Lokal Sekunder
Jl. Kenongorejo-Dawuhan,114,3.480,3+400,3+500,5462,Lokal Sekunder
Jl. Bajulan-Kenongorejo,002,5.350,5+200,5+300,83,Lokal Primer
Jl. Purworejo-Ngampel,054,2.020,1+900,2+000,3092,Lokal Sekunder
Jl. Krapyak-Sumbergandu,056,5.010,4+900,5+000,3145,Lokal Sekunder
Jl. Muneng-Kenongorejo,015,7.570,7+400,7+500,954,Lokal Primer
Jl. Krebet-Batas Ngawi,121,2.260,2+000,2+100,5678,Lokal Sekunder
Jl. Gandul-Kenongorejo,117,1.090,0+900,1+000,5600,Lokal Sekunder
Jl. Kenongorejo-Bulu,116,2.440,2+300,2+400,5575,Lokal Sekunder
Jl. Bulu-Batas Bojonegoro,115,7.520,7+500,7+600,5498,Lokal Sekunder
Jl. Gandul-Batas Bojonegoro,118,2.450,1+400,1+500,5611,Lokal Sekunder
Jl. Luworo-Batas Ngawi,119,3.030,2+900,3+000,5627,Lokal Sekunder
Jl. Bandungan-Batas Nganjuk,103,2.820,0+100,0+200,5046,Lokal Sekunder
Jl. Klangon-Batas Nganjuk,104,2.320,2+500,2+600,5074,Lokal Sekunder
Jl. Tulung-Klangon,105,14.020,13+900,14+000,5101,Lokal Sekunder
Jl. Ngepeh-Tulung,011,5.650,5+600,5+700,788,Lokal Primer
Jl. Sumbergandu-Tulung,030,4.220,0+100,0+200,1910,Lokal Primer
Jl. Duren-Dawuhan,113,2.270,2+100,2+200,5439,Lokal Sekunder
Jl. Kedungmaron-Bener,111,1.450,1+300,1+400,5406,Lokal Sekunder
Jl. Bajulan-Duren,109,3.750,3+600,3+700,5329,Lokal Sekunder
Jl. Kaligunting-Bajulan,010,4.960,4+800,4+900,738,Lokal Primer
Jl. Bongsopotro-Sukorejo,108,1.230,1+100,1+200,5316,Lokal Sekunder
Jl. Sidorejo-Klumutan,058,3.150,3+000,3+100,3227,Lokal Sekunder
Jl. Kopen-Bongsopotro,059,3.460,3+300,3+400,3259,Lokal Sekunder
Jl. Purworejo-Kedungrejo,055,3.120,3+000,3+100,3113,Lokal Sekunder
Jl. Pilangkenceng-Luworo,122,2.310,2+200,2+300,5700,Lokal Sekunder
Jl. Krapyak-Krebet,057,3.070,2+900,3+000,3196,Lokal Sekunder
Jl. Sumberbening-Krapyak,052,3.930,3+800,3+900,3012,Lokal Sekunder
Jl. Krapyak-Babadanlor,053,3.990,3+800,3+900,3052,Lokal Sekunder
Jl. Karangmalang-Kuwu,036,5.340,"5+200
",5+300,2175,Lokal Sekunder
Jl. Balerejo-Babadanlor,137,4.500,4+400,4+500,6208,Lokal Sekunder
Jl. Balerejo-Muneng,004,7.800,7+700,7+800,282,Lokal Primer
Jl. Kedungrejo-Kuwu,135,4.280,4+100,"4+200
",6135,Lokal Sekunder
Jl. Bagi-Batas Ngawi,028,2.710,2+500,2+600,1840,Lokal Primer
Jl. Tiron-Bagi,029,4.220,4+100,4+200,1867,Lokal Primer
Jl. Krokeh-Kajang,096,4.570,4+400,4+500,4873,Lokal Sekunder
Jl. Krokeh-Batas kota,020,2.660,2+500,2+600,1305,Lokal Primer
Jl. Krokeh-Batas Magetan,019,5.370,5+200,5+300,1251,Lokal Primer
Jl. Pucangrejo-Cabean,098,2.350,2+200,2+300,4948,Lokal Sekunder
Jl. Bakur-Batas Magetan,099,2.510,2+600,2+700,4972,Lokal Sekunder
Jl. Pule-Batas Magetan,100,1.500,0+900,1+000,5000,Lokal Sekunder
Jl. Pule-Batas Ngawi,101,2.340,1+600,1+700,5011,Lokal Sekunder
Jl. Rejosari-Batas Kota,085,3.840,4+000,4+100,4161,Lokal Sekunder
Jl. Jiwan-Wayut,051,5.200,5+000,5+100,2960,Lokal Sekunder
Jl. Jiwan-Grobogan,094,1.630,1+600,1+700,4841,Lokal Sekunder
Jl. Jiwan-Batas Magetan,018,3.520,2+900,3+000,1220,Lokal Primer
Jl. Kincang-Teguhan,066,1.730,1+600,1+700,3444,Lokal Sekunder
Jl. Teguhan-Bibrik,093,4.520,4+400,4+500,4795,Lokal Sekunder
Jl. Tiron-Banjarsari,037,3.480,3+300,3+400,2229,Lokal Sekunder
Jl. Sumberejo-Batas Kota,084,2.460,2+300,"2+400
",4136,Lokal Sekunder
Jl. Banjarsari-Tulungrejo,133,3.850,3+700,3+600,6078,Lokal Sekunder
Jl. Garon-Sogo,064,2.900,3+500,3+600,3386,Lokal Sekunder
Jl. Kedungrejo-Sogo,136,2.770,2+800,2+900,6178,Lokal Sekunder
Jl. Jerukgulung-Warurejo,061,1.400,1+500,"1+600
",3318,Lokal Sekunder
Jl. Sumbersari-Bruwok,106,4.710,4+700,4+800,5242,Lokal Sekunder
Jl. Sumbersari-Klumutan,107,2.150,2+300,2+400,5291,Lokal Sekunder
Jl. Kedungrejo-Sumbersari,110,3.820,3+700,3+800,5367,Lokal Sekunder
Jl. Kedungbanteng-Batas Ngawi,120,1.450,1+800,1+900,5658,Lokal Sekunder
Jl. Saradan-Mundu,008,12.110,12+000,12+100,528,Lokal Primer
Jl. Sebayi-Batas Nganjuk,155,7.150,7+000,7+100,7211,Lokal Sekunder
Jl. Gosong-Ketupu,154,5.760,11+500,11+600,7094,Lokal Sekunder
Jl. Mundu-Batas Nganjuk,153,11.180,11+000,11+100,6982,Lokal Sekunder
Jl. Batok-Gosong,152,3.920,3+700,3+800,6943,Lokal Sekunder
Jl. Kare-Mundu,024,14.240,14+100,14+200,1531,Lokal Primer
Jl. Cungkling-Morang,151,3.670,3+500,3+600,6906,Lokal Sekunder
Jl. Batok-Morang,027,4.860,4+700,4+800,1791,Lokal Primer
Jl. Caruban-Morang,003,14.510,14+300,14+400,137,Lokal Primer
Jl. Blabakan-Randualas,127,14.520,14+400,14+500,5825,Lokal Sekunder
Jl. Sidodadi-Kebonagung,126,4.970,4+800,4+900,5775,Lokal Sekunder
Jl. Kaligunting-Darmorejo,049,6.010,6+000,6+100,2875,Lokal Sekunder
Jl. Bungkus-Sidodadi,034,2.750,2+600,2+700,2109,Lokal Sekunder
Jl. Pandean-Kaliabu,124,2.900,2+700,2+800,5741,Lokal Sekunder
Jl. Kaliabu-TPA,125,0.500,0+300,0+400,5770,Lokal Sekunder
Jl. Sidomulyo-Kaliabu,128,3.570,0+100,0+200,5971,Lokal Sekunder
Jl. Klitik-Dimong,001,8.100,8+000,8+100,1,Lokal Primer
Jl. Wonoasri-Bancong,130,2.100,2+100,2+200,6023,Lokal Sekunder
Jl. Klitik-Bancong,129,1.500,1+400,1+500,6007,Lokal Sekunder
Jl. Purwosari-Bancong,035,3.840,3+600,3+700,2137,Lokal Sekunder
Jl. Wonoasri-Banyukambang,131,2.010,1+900,2+000,6046,Lokal Sekunder
Jl. Karangmalang-Banyukambang,050,2.260,2+100,2+200,2937,Lokal Sekunder
Jl. Kebonagung-Banyukambang,134,1.760,1+600,1+700,6117,Lokal Sekunder
Jl. Jerukgulung-Gading,060,2.350,2+200,2+300,3294,Lokal Sekunder
Jl. Segulung-Suluk,090,14.960,14+800,14+900,4499,Lokal Sekunder
Jl. Purworejo-Segulung,071,7.890,7+400,7+500,3660,Lokal Sekunder
Jl. Pagotan-Dagangan,005,1.840,1+700,1+800,361,Lokal Primer
Jl. Dagangan-Pesanggrahan,087,11.500,11+400,11+500,4272,Lokal Sekunder
Jl. Dagangan-Sukosari,031,3.930,3+200,"3+300
",1953,Lokal Primer
Jl. Dungus-Sukosari,032,6.650,6+500,6+600,1987,Lokal Primer
Jl. Karangrejo-Mawatsari,140,2.000,1+800,1+900,6317,Lokal Sekunder
Jl. Sangen-Sewulan,040,2.160,2+000,2+100,2314,Lokal Sekunder
Jl. Sangen-Sukosari,070,1.370,1+200,1+300,3646,Lokal Sekunder
Jl. Sukosari-Batas Kota,046,3.640,3+500,3+600,2689,Lokal Sekunder
Jl. Pilangrejo-Mawatsari,141,4.600,4+400,4+500,6337,Lokal Sekunder
Jl. Munggut-Batas Kota,044,1.540,1+400,1+500,2615,Lokal Sekunder
Jl. Bantengan-Karangrejo,138,5.200,5+100,"5+200
",6254,Lokal Sekunder
Jl. Mojopurno-Dimong,017,9.230,9+000,9+100,1128,Lokal Primer
Jl. Bantengan-Batas Kota,081,0.700,0+600,0+700,4075,Lokal Sekunder
Jl. Bantengan-Tempursari,139,0.960,0+800,0+900,6307,Lokal Sekunder
Jl. Mojorayung-Batas Kota,080,2.270,2+200,2+300,4051,Lokal Sekunder
Jl. Nglanduk-Batas Kota,083,2.460,2+400,2+500,4110,Lokal Sekunder
Jl. Dempelan-Batas Kota,082,2.550,2+500,2+600,4083,Lokal Sekunder
Jl. Dimong-Sirapan,132,1.010,0+900,1+000,6067,Lokal Sekunder
Jl. Dimong-Batas Kota,014,3.800,3+700,3+800,915,Lokal Primer
Jl. Balerejo-Dimong,038,4.510,4+300,4+400,2264,Lokal Sekunder
Jl. Dagangan-Sareng,088,3.920,3+800,3+900,4388,Lokal Sekunder
Jl. Slambur-Segulung,041,9.500,9+300,9+400,2336,Lokal Sekunder
Jl. Ketandan-Mendak,089,7.050,6+900,7+000,4428,Lokal Sekunder
Jl. Sareng-Ketandan,092,2.640,2+500,2+600,4768,Lokal Sekunder
Jl. Batil-Candimulyo,074,4.720,4+600,4+700,3780,Lokal Sekunder
Jl. Dolopo-Tileng,043,9.310,9+200,9+300,2521,Lokal Sekunder
Jl. Candimulyo-Blimbing,165,3.830,3+700,3+800,7556,Lokal Sekunder
Jl. Dolopo-Suluk,045,5.710,5+600,5+700,2631,Lokal Sekunder
Jl. Dolopo-Batas Ponorogo,022,8.670,8+800,8+900,1425,Lokal Primer
Jl. Mlilir-Suluk,078,9.470,9+200,9+300,3915,Lokal Sekunder
Jl. Mlilir-Batas Ponorogo,079,4.280,4+000,4+100,4009,Lokal Sekunder
Jl. Mlilir-Tambakmas,026,8.510,8+500,8+600,1704,Lokal Primer
Jl. Ngeprih-Lembah,077,2.170,2+000,2+100,3893,Lokal Sekunder
Jl. Ngrawan-Sukorejo,076,2.490,2+300,"2+400
",3868,Lokal Sekunder
Jl. Doho-Banaran,163,3.290,3+100,3+200,7477,Lokal Sekunder
Jl. Krandegan-Lembah,164,4.580,4+400,4+500,7510,Lokal Sekunder
Jl. Singgahan-Krandegan,158,3.370,3+200,3+300,7341,Lokal Sekunder
Jl. Dolopo-Mojorejo,007,7.800,7+700,7+800,449,Lokal Primer
Jl. Pagotan-Klorogan,157,4.010,3+800,3+900,7301,Lokal Sekunder
Jl. Pagotan-Nglandung,012,2.470,2+300,2+400,846,Lokal Primer
Jl. Uteran-Batas Magetan,006,7.110,"6+700
",6+800,380,Lokal Primer
Jl. Sidorejo-Tanjungrejo,161,2.780,2+600,2+700,7444,Lokal Sekunder
