STA_AWAL,STA_AKHIR,Panjang,Fungsi,Nm_Ruas,No
0+000,0+100,122,Lokal Sekunder,GG. Anggrek III,1
0+100,0+106,122,Lokal Sekunder,GG. Anggrek III,2
0+000,0+100,159,Lingkungan Sekunder,Jalan Anggrek-Mayang Kembar IV,3
0+100,0+140,159,Lingkungan Sekunder,Jalan Anggrek-Mayang Kembar IV,4
0+300,0+400,425,Lokal Sekunder,Jalan Anthorium,5
0+000,0+100,425,Lokal Sekunder,Jalan Anthorium,6
0+100,0+200,425,Lokal Sekunder,Jalan Anthorium,7
0+200,0+300,425,Lokal Sekunder,Jalan Anthorium,8
0+400,0+450,425,Lokal Sekunder,Jalan Anthorium,9
0+300,0+400,356,Lokal Sekunder,Jalan Cempaka,10
0+000,0+100,356,Lokal Sekunder,Jalan Cempaka,11
0+100,0+200,356,Lokal Sekunder,Jalan Cempaka,12
0+200,0+300,356,Lokal Sekunder,Jalan Cempaka,13
0+400,0+416,356,Lokal Sekunder,Jalan Cempaka,14
0+000,0+100,194,Lingkungan Primer,Jalan Joharmanik,15
0+100,0+194,194,Lingkungan Primer,Jalan Joharmanik,16
0+300,0+400,427,Lingkungan Sekunder,Jalan Kantil,17
0+000,0+100,427,Lingkungan Sekunder,Jalan Kantil,18
0+100,0+200,427,Lingkungan Sekunder,Jalan Kantil,19
0+200,0+300,427,Lingkungan Sekunder,Jalan Kantil,20
0+400,0+428,427,Lingkungan Sekunder,Jalan Kantil,21
0+000,0+094,102,Lingkungan Sekunder,Jalan Kantil  II,22
0+100,0+200,209,Lingkungan Sekunder,Jalan Kantil  III,23
0+000,0+100,209,Lingkungan Sekunder,Jalan Kantil  III,24
0+200,0+206,209,Lingkungan Sekunder,Jalan Kantil  III,25
0+200,0+300,309,Lokal Sekunder,Jalan Kantil  IV,26
0+000,0+100,309,Lokal Sekunder,Jalan Kantil  IV,27
0+100,0+200,309,Lokal Sekunder,Jalan Kantil  IV,28
0+300,0+303,309,Lokal Sekunder,Jalan Kantil  IV,29
0+000,0+100,309,Lokal Sekunder,Jalan Kantil  VI,30
0+100,0+153,309,Lokal Sekunder,Jalan Kantil  VI,31
0+000,0+100,171,Lokal Sekunder,Jalan Kantil I,32
