Panjang,STA_AWAL,STA_AKHIR,Fungsi,No,Nm_Ruas
250,0+000,0+062,Lokal Sekunder,10,4093 - JL. CEMPAKA I
150,0+000,0+089,Lokal Sekunder,100,4079 - JL. BALI
300,0+000,0+095,Lokal Sekunder,1000,4083 - JL. FLORES
200,0+100,0+118,Lokal Sekunder,1001,4010 - JL. DAHLIA
200,0+000,0+100,Lokal Sekunder,1002,4010 - JL. DAHLIA
250,0+100,0+122,Lokal Sekunder,1003,4027 - JL. CISADANE
250,0+000,0+100,Lokal Sekunder,1004,4027 - JL. CISADANE
250,0+100,0+127,Lokal Sekunder,1005,4026 - JL. SERAYU
250,0+000,0+100,Lokal Sekunder,1006,4026 - JL. SERAYU
800,0+100,0+128,Lokal Sekunder,1007,4069 - JL. KARANGLO II
800,0+000,0+100,Lokal Sekunder,1008,4069 - JL. KARANGLO II
350,0+100,0+128,Lokal Sekunder,1009,4094 - JL. CEMPAKA II
350,0+000,0+100,Lokal Sekunder,101,4094 - JL. CEMPAKA II
250,0+100,0+100,Lokal Sekunder,1010,4029 - JL. CITARUM
250,0+000,0+100,Lokal Sekunder,1011,4029 - JL. CITARUM
150,0+100,0+145,Lokal Sekunder,1012,4054 - JL. SIRSAK
150,0+000,0+100,Lokal Sekunder,1013,4054 - JL. SIRSAK
250,0+100,0+145,Lokal Sekunder,1014,4053 - JL. MELON
250,0+000,0+100,Lokal Sekunder,1015,4053 - JL. MELON
300,0+100,0+153,Lokal Sekunder,1016,4095 - JL. CEMPAKA III
300,0+000,0+100,Lokal Sekunder,1017,4095 - JL. CEMPAKA III
450,0+100,0+159,Lokal Sekunder,1018,4074 - JL. KUTILANG
450,0+000,0+100,Lokal Sekunder,1019,4074 - JL. KUTILANG
400,0+100,0+161,Lokal Sekunder,102,4019 - JL. GARUDA
400,0+000,0+100,Lokal Sekunder,1020,4019 - JL. GARUDA
700,0+100,0+172,Lokal Sekunder,1021,4037 - JL. MELATI I
700,0+000,0+100,Lokal Sekunder,1022,4037 - JL. MELATI I
150,0+100,0+176,Lokal Sekunder,1023,4065 - JL. SAWO RAJA
150,0+000,0+100,Lokal Sekunder,1024,4065 - JL. SAWO RAJA
150,0+100,0+187,Lokal Sekunder,1025,4047 - JL. SAWO
150,0+000,0+100,Lokal Sekunder,1026,4047 - JL. SAWO
250,0+100,0+187,Lokal Sekunder,1027,4309 - JL. SERBA GUNA
250,0+000,0+100,Lokal Sekunder,1028,4309 - JL. SERBA GUNA
300,0+100,0+192,Lokal Sekunder,1029,4082 - JL. SULAWESI
300,0+000,0+100,Lokal Sekunder,103,4082 - JL. SULAWESI
400,0+100,0+194,Lokal Sekunder,1030,4312 - JL. SWANARDIPA
400,0+000,0+100,Lokal Sekunder,1031,4312 - JL. SWANARDIPA
200,0+100,0+196,Lokal Sekunder,1032,4050 - JL. KESEMEK
200,0+000,0+100,Lokal Sekunder,1033,4050 - JL. KESEMEK
300,0+100,0+197,Lokal Sekunder,1034,4078 - JL. SUMATRA
300,0+000,0+100,Lokal Sekunder,104,4078 - JL. SUMATRA
200,0+100,0+197,Lokal Sekunder,105,4097 - JL. ANGGREK II
200,0+000,0+100,Lokal Sekunder,106,4097 - JL. ANGGREK II
300,0+100,0+199,Lokal Sekunder,107,4040 - JL. YOS SUDARSO
300,0+000,0+100,Lokal Sekunder,108,4040 - JL. YOS SUDARSO
300,0+100,0+200,Lokal Sekunder,109,4220 - JL. WAKIDUN
300,0+000,0+100,Lokal Sekunder,11,4220 - JL. WAKIDUN
300,0+200,0+204,Lokal Sekunder,110,4220 - JL. WAKIDUN
280,0+100,0+200,Lokal Sekunder,111,4024 - JL. RINJANI
280,0+000,0+100,Lokal Sekunder,112,4024 - JL. RINJANI
280,0+200,0+205,Lokal Sekunder,113,4024 - JL. RINJANI
400,0+100,0+200,Lokal Sekunder,114,4015 - JL. TANJUNG
400,0+000,0+100,Lokal Sekunder,115,4015 - JL. TANJUNG
400,0+200,0+205,Lokal Sekunder,116,4015 - JL. TANJUNG
400,0+100,0+200,Lokal Sekunder,117,4063 - JL. PEPAYA RAJA
400,0+000,0+100,Lokal Sekunder,118,4063 - JL. PEPAYA RAJA
400,0+200,0+211,Lokal Sekunder,119,4063 - JL. PEPAYA RAJA
350,0+100,0+200,Lokal Sekunder,12,4084 - JL. SUMBAWA
350,0+000,0+100,Lokal Sekunder,120,4084 - JL. SUMBAWA
350,0+200,0+212,Lokal Sekunder,121,4084 - JL. SUMBAWA
150,0+100,0+200,Lokal Sekunder,122,4062 - JL. APEL RAJA
150,0+000,0+100,Lokal Sekunder,123,4062 - JL. APEL RAJA
150,0+200,0+212,Lokal Sekunder,124,4062 - JL. APEL RAJA
1100,0+100,0+200,Lokal Sekunder,125,4076 - JL. S. PARMAN
1100,0+000,0+100,Lokal Sekunder,126,4076 - JL. S. PARMAN
