id,no_jemb,nama,kec,panjang,lebar,jml_bintang,ba_tipe,lat,long,kondisi
1,19.001.001,Jembatan Wonoasri I,Wonoasri,6.95,7.95,1,Gelagar,7.56769,111.62469,1
2,19.001.002,Jembatan Ngadirejo I,Wonoasri,13,7.9,1,Gelagar,7.58204,111.60897,1
3,19.001.003,Jembatan Ngadirejo II,Wonoasri,5.7,7.65,1,Gelagar,7.59212,111.60186,2
4,19.001.004,Jembatan Dimong I,Wonoasri,8.9,8,1,Gelagar,7.59371,111.59896,1
5,19.002.001,Jembatan Kedungrejo I,Pilangkenceng,24,4.9,2,Gelagar Komposit,7.51685,111.66315,3
6,19.002.002,Jembatan Kenongorejo I,Pilangkenceng,8.6,7,1,Gelagar,7.49006,111.66293,1
7,19.002.003,Jembatan Kenongorejo II,Pilangkenceng,2.5,12.5,1,Gorong-Gorong Kotak,7.488835,111.662346,1
8,19.002.004,Jembatan Kenongorejo III,Pilangkenceng,5,11.35,1,Plat,7.48465,111.66092,1
9,19.003.001,Jembatan Mejayan I,Mejayan,2.8,9.83,1,Plat,7.55246,111.66052,1
10,19.003.002,Jembatan Wonorejo I,Mejayan,5,9.3,1,Gelagar Komposit dan Plat,7.58111,111.68142,2
11,19.003.003,Jembatan Kebonagung VI,Mejayan,4.4,7.5,1,Plat,7.60022,111.68877,1
12,19.003.004,Jembatan Kebonagung VII,Mejayan,2.95,7.63,1,Plat,7.60331,111.68951,1
13,19.003.005,Jembatan Kebonagung VIII,Mejayan,20.3,8.1,1,Gelagar,7.6106,111.69089,1
14,19.003.006,Jembatan Tawangrejo I,Mejayan,5.8,6.64,1,Gelagar,7.62537,111.69268,1
15,19.003.007,Jembatan Tawangrejo II,Mejayan,24.6,4.5,2,Gelagar Komposit,7.63563,111.69579,1
16,19.003.008,Jembatan Tawangrejo III,Mejayan,4.15,6.15,1,Gelagar dan Plat,7.6384,111.69621,1
17,19.004.001,Jembatan Balerejo I,Balerejo,10.85,7.7,1,Gelagar Komposit,7.55447,111.58094,2
18,19.004.002,Jembatan Balerejo II,Balerejo,34,6.3,3,Gelagar Komposit,7.5525,111.58084,2
19,19.004.003,Jembatan Balerejo III,Balerejo,4.8,8.9,1,Plat,7.54982,111.58199,2
