STA_AWAL;STA_AKHIR;Panjang;Nm_Ruas;Kondisi;Tipe_Perke;Lebar_STA;No
0+000;0+100;106,00;GG. Anggrek III;sedang;beton;3;1
0+100;0+106;106,00;GG. Anggrek III;sedang;beton;3;2
0+000;0+100;240,00;Jalan Anggrek-Mayang Kembar IV;baik;aspal;3;3
0+100;0+140;240,00;Jalan Anggrek-Mayang Kembar IV;baik;aspal;3;4
0+000;0+100;450,00;Jalan Anthorium;baik;aspal;3;6
0+100;0+200;450,00;Jalan Anthorium;baik;aspal;3;7
0+200;0+300;450,00;Jalan Anthorium;baik;aspal;3;8
0+300;0+400;450,00;Jalan Anthorium;baik;aspal;3;5
0+400;0+450;450,00;Jalan Anthorium;baik;aspal;3;9
0+000;0+100;416,00;Jalan Cempaka;RR;aspal;4;11
0+100;0+200;416,00;Jalan Cempaka;sedang;aspal;4;12
0+200;0+300;416,00;Jalan Cempaka;RR;aspal;4;13
0+300;0+400;416,00;Jalan Cempaka;RR;aspal;4;10
0+400;0+416;416,00;Jalan Cempaka;RR;aspal;4;14
0+000;0+100;194,00;Jalan Joharmanik;sedang;beton;2;15
0+100;0+194;194,00;Jalan Joharmanik;baik;beton;2;16
0+000;0+100;428,00;Jalan Kantil;baik;aspal;3;18
0+100;0+200;428,00;Jalan Kantil;baik;aspal;3;19
0+200;0+300;428,00;Jalan Kantil;sedang;aspal;3;20
0+300;0+400;428,00;Jalan Kantil;RR;aspal;3;17
0+400;0+428;428,00;Jalan Kantil;RR;aspal;3;21
0+000;0+094;94,88;Jalan Kantil  II;sedang;beton;2;22
0+000;0+100;206,00;Jalan Kantil  III;baik;aspal;3;24
0+100;0+200;206,00;Jalan Kantil  III;baik;aspal;3;23
0+200;0+206;206,00;Jalan Kantil  III;baik;aspal;3;25
0+000;0+100;303,67;Jalan Kantil  IV;baik;aspal;3;27
0+100;0+200;303,67;Jalan Kantil  IV;baik;aspal;3;28
0+200;0+300;303,67;Jalan Kantil  IV;baik;aspal;3;26
0+300;0+303;303,67;Jalan Kantil  IV;baik;aspal;3;29
0+000;0+100;153,50;Jalan Kantil  VI;sedang;beton;2;30
0+100;0+153;153,50;Jalan Kantil  VI;sedang;beton;2;31
0+000;0+100;143,91;Jalan Kantil I;sedang;aspal;3;32
0+100;0+143;143,91;Jalan Kantil I;baik;aspal;3;33
0+000;0+065;65,69;Jalan Kantil V;sedang;beton;3;34
0+000;0+100;509,89;JALAN KASATRIAN;sedang;aspal;5;36
0+100;0+200;509,89;JALAN KASATRIAN;sedang;aspal;5;37
0+200;0+300;509,89;JALAN KASATRIAN;sedang;aspal;5;38
0+300;0+400;509,89;JALAN KASATRIAN;sedang;aspal;5;39
0+400;0+500;509,89;JALAN KASATRIAN;sedang;aspal;5;35
0+500;0+509;509,89;JALAN KASATRIAN;sedang;aspal;5;40
0+000;0+100;1158,62;Jalan Kenongo;baik;aspal;3;42
0+100;0+200;1158,62;Jalan Kenongo;baik;aspal;3;43
0+200;0+300;1158,62;Jalan Kenongo;baik;aspal;3;44
0+300;0+400;1158,62;Jalan Kenongo;baik;aspal;3;45
0+400;0+500;1158,62;Jalan Kenongo;baik;aspal;3;46
0+500;0+600;1158,62;Jalan Kenongo;baik;aspal;3;47
0+600;0+700;1158,62;Jalan Kenongo;RR;aspal;3;48
0+700;0+800;1158,62;Jalan Kenongo;RB;aspal;2;49
0+800;0+900;1158,62;Jalan Kenongo;RR;aspal;3;50
0+900;1+000;1158,62;Jalan Kenongo;RR;aspal;3;51
1+000;1+100;1158,62;Jalan Kenongo;RR;aspal;3;41
1+100;1+156;1158,62;Jalan Kenongo;RR;aspal;3;52
0+000;0+100;350,86;Jalan Kenongo 2;RR;aspal;3;54
0+100;0+200;350,86;Jalan Kenongo 2;sedang;aspal;3;55
0+200;0+300;350,86;Jalan Kenongo 2;sedang;aspal;3;53
0+300;0+350;350,86;Jalan Kenongo 2;RB;makadam;3;56
0+000;0+100;118,12;Jalan Kenongo 3;RR;beton;3;57
0+100;0+118;118,12;Jalan Kenongo 3;RR;beton;3;58
0+000;0+100;215,08;Jalan M Sholeh;sedang;aspal;3;60
0+100;0+200;215,08;Jalan M Sholeh;sedang;beton;3;59
0+200;0+215;215,08;Jalan M Sholeh;baik;beton;1;61
0+000;0+100;368,41;Jalan Mawar;baik;aspal;3;63
0+100;0+200;368,41;Jalan Mawar;baik;aspal;3;64
0+200;0+300;368,41;Jalan Mawar;baik;aspal;3;62
0+300;0+368;368,41;Jalan Mawar;baik;aspal;3;65
0+000;0+100;140,52;Jalan Mayang Kembar;baik;aspal;3;66
0+100;0+140;140,52;Jalan Mayang Kembar;baik;aspal;3;67
0+000;0+100;205,28;Jalan Mayang Kembar I;baik;aspal;3;69
0+100;0+200;205,28;Jalan Mayang Kembar I;baik;aspal;3;68
0+200;0+205;205,28;Jalan Mayang Kembar I;baik;aspal;3;70
0+000;0+100;208,39;Jalan Mayang Kembar II;baik;aspal;3;72
0+100;0+200;208,39;Jalan Mayang Kembar II;baik;aspal;3;71
0+200;0+208;208,39;Jalan Mayang Kembar II;baik;aspal;3;73
0+000;0+100;210,85;Jalan Mayang Kembar III;baik;aspal;3;75
0+100;0+200;210,85;Jalan Mayang Kembar III;baik;aspal;3;74
0+200;0+210;210,85;Jalan Mayang Kembar III;baik;aspal;3;76
0+000;0+100;202,25;Jalan Mayang Kembar IV;RR;beton;2;78
0+100;0+200;202,25;Jalan Mayang Kembar IV;RB;tanah;3;77
0+200;0+202;202,25;Jalan Mayang Kembar IV;RB;aspal;3;79
0+000;0+100;343,93;Jalan Melati;baik;aspal;3;81
0+100;0+200;343,93;Jalan Melati;baik;aspal;3;82
0+200;0+300;343,93;Jalan Melati;baik;aspal;3;80
0+300;0+343;343,93;Jalan Melati;baik;aspal;3;83
0+000;0+100;453,98;Jalan Menur;baik;aspal;5;85
0+100;0+200;453,98;Jalan Menur;baik;aspal;3;86
0+200;0+300;453,98;Jalan Menur;baik;aspal;3;87
0+300;0+400;453,98;Jalan Menur;baik;aspal;3;84
0+400;0+453;453,98;Jalan Menur;baik;aspal;3;88
0+000;0+100;262,49;Jalan Menur Gg. 1;baik;aspal;3;90
0+100;0+200;262,49;Jalan Menur Gg. 1;baik;aspal;3;89
0+200;0+262;262,49;Jalan Menur Gg. 1;baik;aspal;3;91
0+000;0+100;136,07;Jalan Menur Gg. 2;sedang;aspal;4;92
0+100;0+136;136,07;Jalan Menur Gg. 2;sedang;aspal;4;93
0+000;0+089;89,92;Jalan Menur Gg. 3;sedang;beton;2;94
0+000;0+092;92,32;Jalan Menur Gg. 4;sedang;beton;2;95
0+000;0+100;706,55;Jalan Mojopurno - Pilangrejo;baik;aspal;3;97
0+100;0+200;706,55;Jalan Mojopurno - Pilangrejo;sedang;aspal;3;98
0+200;0+300;706,55;Jalan Mojopurno - Pilangrejo;baik;aspal;3;99
0+300;0+400;706,55;Jalan Mojopurno - Pilangrejo;baik;aspal;3;100
