STA_AWAL;STA_AKHIR;Panjang;Nm_Ruas;Kondisi;Tipe_Perke;Lebar_STA;No
0+000;0+100;106,00;GG. Anggrek III;sedang;beton;2.6;1
0+100;0+106;106,00;GG. Anggrek III;sedang;beton;2.6;2
0+000;0+100;240,00;Jalan Anggrek-Mayang Kembar IV;baik;aspal;2.5;3
0+100;0+140;240,00;Jalan Anggrek-Mayang Kembar IV;baik;aspal;2.5;4
0+000;0+100;450,00;Jalan Anthorium;baik;aspal;3.2;6
0+100;0+200;450,00;Jalan Anthorium;baik;aspal;3.2;7
0+200;0+300;450,00;Jalan Anthorium;baik;aspal;3.2;8
0+300;0+400;450,00;Jalan Anthorium;baik;aspal;3.2;5
0+400;0+450;450,00;Jalan Anthorium;baik;aspal;3.2;9
0+000;0+100;416,00;Jalan Cempaka;RR;aspal;4.1;11
0+100;0+200;416,00;Jalan Cempaka;RR;aspal;4.1;12
0+200;0+300;416,00;Jalan Cempaka;RR;aspal;4.1;13
0+300;0+400;416,00;Jalan Cempaka;RR;aspal;4.1;10
0+400;0+416;416,00;Jalan Cempaka;RR;aspal;4.1;14
0+000;0+100;194,00;Jalan Joharmanik;sedang;beton;2.1;15
0+100;0+194;194,00;Jalan Joharmanik;baik;beton;2.1;16
0+000;0+100;428,00;Jalan Kantil;sedang;aspal;2.6;18
0+100;0+200;428,00;Jalan Kantil;sedang;aspal;2.6;19
0+200;0+300;428,00;Jalan Kantil;sedang;aspal;2.6;20
0+300;0+400;428,00;Jalan Kantil;sedang;aspal;2.6;17
0+400;0+428;428,00;Jalan Kantil;baik;aspal;2.6;21
0+000;0+094;94,88;Jalan Kantil  II;sedang;beton;2.2;22
0+000;0+100;206,00;Jalan Kantil  III;baik;aspal;2.6;24
0+100;0+200;206,00;Jalan Kantil  III;baik;aspal;2.6;23
0+200;0+206;206,00;Jalan Kantil  III;baik;aspal;2.6;25
0+000;0+100;303,67;Jalan Kantil  IV;baik;aspal;3;27
0+100;0+200;303,67;Jalan Kantil  IV;baik;aspal;3;28
0+200;0+300;303,67;Jalan Kantil  IV;baik;aspal;3;26
0+300;0+303;303,67;Jalan Kantil  IV;baik;aspal;3;29
0+000;0+100;153,50;Jalan Kantil  VI;sedang;beton;2.2;30
0+100;0+153;153,50;Jalan Kantil  VI;RR;beton;2.2;31
0+000;0+100;143,91;Jalan Kantil I;sedang;aspal;2.6;32
0+100;0+143;143,91;Jalan Kantil I;sedang;aspal;2.6;33
0+000;0+065;65,69;Jalan Kantil V;baik;aspal;3;34
0+000;0+100;509,89;JALAN KASATRIAN;sedang;aspal;5;36
0+100;0+200;509,89;JALAN KASATRIAN;sedang;aspal;5;37
0+200;0+300;509,89;JALAN KASATRIAN;sedang;aspal;5;38
0+300;0+400;509,89;JALAN KASATRIAN;sedang;aspal;5;39
0+400;0+500;509,89;JALAN KASATRIAN;sedang;aspal;5;35
0+500;0+509;509,89;JALAN KASATRIAN;sedang;aspal;5;40
0+000;0+100;1158,62;Jalan Kenongo;sedang;aspal;3.3;42
0+100;0+200;1158,62;Jalan Kenongo;sedang;aspal;3.3;43
0+200;0+300;1158,62;Jalan Kenongo;sedang;aspal;3;44
0+300;0+400;1158,62;Jalan Kenongo;sedang;aspal;2.7;45
0+400;0+500;1158,62;Jalan Kenongo;sedang;aspal;2.8;46
0+500;0+600;1158,62;Jalan Kenongo;sedang;aspal;2.7;47
0+600;0+700;1158,62;Jalan Kenongo;sedang;aspal;2.6;48
0+700;0+800;1158,62;Jalan Kenongo;sedang;aspal;2.2;49
0+800;0+900;1158,62;Jalan Kenongo;sedang;aspal;2.5;50
0+900;1+000;1158,62;Jalan Kenongo;sedang;aspal;2.5;51
1+000;1+100;1158,62;Jalan Kenongo;RR;aspal;2.7;41
1+100;1+156;1158,62;Jalan Kenongo;RB;aspal;2.5;52
0+000;0+100;350,86;Jalan Kenongo 2;RR;aspal;3.1;54
0+100;0+200;350,86;Jalan Kenongo 2;RR;aspal;3.1;55
0+200;0+300;350,86;Jalan Kenongo 2;RR;aspal;3;53
0+300;0+350;350,86;Jalan Kenongo 2;RB;makadam;3.2;56
0+000;0+100;118,12;Jalan Kenongo 3;RB;makadam;3.2;57
0+100;0+118;118,12;Jalan Kenongo 3;RB;makadam;3.2;58
0+000;0+100;215,08;Jalan M Sholeh;sedang;aspal;2.8;60
0+100;0+200;215,08;Jalan M Sholeh;sedang;beton;2.6;59
0+200;0+215;215,08;Jalan M Sholeh;baik;beton;1.4;61
0+000;0+100;368,41;Jalan Mawar;baik;aspal;3.1;63
0+100;0+200;368,41;Jalan Mawar;baik;aspal;3.1;64
0+200;0+300;368,41;Jalan Mawar;baik;aspal;3.1;62
0+300;0+368;368,41;Jalan Mawar;baik;aspal;3.1;65
0+000;0+100;140,52;Jalan Mayang Kembar;baik;aspal;2.5;66
0+100;0+140;140,52;Jalan Mayang Kembar;baik;aspal;2.5;67
0+000;0+100;205,28;Jalan Mayang Kembar I;baik;aspal;2.5;69
0+100;0+200;205,28;Jalan Mayang Kembar I;baik;aspal;2.5;68
0+200;0+205;205,28;Jalan Mayang Kembar I;baik;aspal;2.5;70
0+000;0+100;208,39;Jalan Mayang Kembar II;baik;aspal;2.6;72
0+100;0+200;208,39;Jalan Mayang Kembar II;baik;aspal;2.6;71
0+200;0+208;208,39;Jalan Mayang Kembar II;baik;aspal;2.6;73
0+000;0+100;210,85;Jalan Mayang Kembar III;baik;aspal;2.6;75
0+100;0+200;210,85;Jalan Mayang Kembar III;baik;aspal;2.6;74
0+200;0+210;210,85;Jalan Mayang Kembar III;baik;aspal;2.6;76
0+000;0+100;202,25;Jalan Mayang Kembar IV;RR;beton;1.9;78
0+100;0+200;202,25;Jalan Mayang Kembar IV;RB;tanah;2.8;77
0+200;0+202;202,25;Jalan Mayang Kembar IV;RB;aspal;2.6;79
0+000;0+100;343,93;Jalan Melati;baik;aspal;3.1;81
0+100;0+200;343,93;Jalan Melati;baik;aspal;3;82
0+200;0+300;343,93;Jalan Melati;baik;aspal;3;80
0+300;0+343;343,93;Jalan Melati;baik;aspal;3;83
0+000;0+100;453,98;Jalan Menur;baik;aspal;5;85
0+100;0+200;453,98;Jalan Menur;sedang;aspal;3;86
0+200;0+300;453,98;Jalan Menur;sedang;aspal;3;87
0+300;0+400;453,98;Jalan Menur;sedang;aspal;3;84
0+400;0+453;453,98;Jalan Menur;baik;aspal;3;88
0+000;0+100;262,49;Jalan Menur Gg. 1;baik;aspal;2.7;90
0+100;0+200;262,49;Jalan Menur Gg. 1;baik;aspal;2.6;89
0+200;0+262;262,49;Jalan Menur Gg. 1;RR;aspal;2.6;91
0+000;0+100;136,07;Jalan Menur Gg. 2;sedang;aspal;3.5;92
0+100;0+136;136,07;Jalan Menur Gg. 2;sedang;aspal;3.5;93
0+000;0+089;89,92;Jalan Menur Gg. 3;sedang;beton;2;94
0+000;0+092;92,32;Jalan Menur Gg. 4;sedang;beton;2;95
0+000;0+100;706,55;Jalan Mojopurno - Pilangrejo;baik;aspal;3.1;97
0+100;0+200;706,55;Jalan Mojopurno - Pilangrejo;baik;aspal;3.1;98
0+200;0+300;706,55;Jalan Mojopurno - Pilangrejo;baik;aspal;3.1;99
0+300;0+400;706,55;Jalan Mojopurno - Pilangrejo;baik;aspal;3.1;100
0+400;0+500;706,55;Jalan Mojopurno - Pilangrejo;baik;aspal;3.2;101
0+500;0+600;706,55;Jalan Mojopurno - Pilangrejo;baik;aspal;3.2;102
0+600;0+700;706,55;Jalan Mojopurno - Pilangrejo;baik;aspal;3.2;96
0+700;0+706;706,55;Jalan Mojopurno - Pilangrejo;baik;aspal;3.2;103
0+000;0+100;249,71;Jalan Munggut Asri;baik;aspal;3.4;105
0+100;0+200;249,71;Jalan Munggut Asri;baik;aspal;3.4;104
0+200;0+249;249,71;Jalan Munggut Asri;baik;aspal;3.4;106
0+000;0+100;587,06;Jalan Nusa Indah;baik;aspal;3.2;108
0+100;0+200;587,06;Jalan Nusa Indah;baik;aspal;3.2;109
0+200;0+300;587,06;Jalan Nusa Indah;baik;aspal;3.2;110
0+300;0+400;587,06;Jalan Nusa Indah;baik;aspal;3.2;111
0+400;0+500;587,06;Jalan Nusa Indah;baik;aspal;3.2;107
0+500;0+587;587,06;Jalan Nusa Indah;baik;aspal;3;112
0+000;0+100;2755,36;Jalan Pacing;RB;makadam;5.8;114
0+100;0+200;2755,36;Jalan Pacing;RB;makadam;5.8;115
0+200;0+300;2755,36;Jalan Pacing;RB;makadam;5.8;116
0+300;0+400;2755,36;Jalan Pacing;RB;makadam;5.8;117
0+400;0+500;2755,36;Jalan Pacing;baik;makadam;5.8;118
0+500;0+600;2755,36;Jalan Pacing;baik;makadam;5.8;119
0+600;0+700;2755,36;Jalan Pacing;baik;makadam;5.8;120
0+700;0+800;2755,36;Jalan Pacing;baik;tanah;3.2;121
0+800;0+900;2755,36;Jalan Pacing;RB;tanah;2.8;122
0+900;1+000;2755,36;Jalan Pacing;RB;tanah;2.5;123
1+000;1+100;2755,36;Jalan Pacing;RB;tanah;2.2;124
1+100;1+200;2755,36;Jalan Pacing;RB;tanah;2.2;125
1+200;1+300;2755,36;Jalan Pacing;RB;tanah;2.4;126
1+300;1+400;2755,36;Jalan Pacing;RB;tanah;2.3;127
1+400;1+500;2755,36;Jalan Pacing;RB;tanah;2.3;128
1+500;1+600;2755,36;Jalan Pacing;RB;tanah;2.5;129
1+600;1+700;2755,36;Jalan Pacing;RB;tanah;0.8;130
1+700;1+800;2755,36;Jalan Pacing;RB;tanah;0.8;131
1+800;1+900;2755,36;Jalan Pacing;RB;tanah;2.5;132
1+900;2+000;2755,36;Jalan Pacing;RB;tanah;1.8;133
2+000;2+100;2755,36;Jalan Pacing;RB;tanah;2.4;134
2+100;2+200;2755,36;Jalan Pacing;RB;tanah;2.5;135
2+200;2+300;2755,36;Jalan Pacing;RB;tanah;2.5;136
2+300;2+400;2755,36;Jalan Pacing;RB;tanah;1.5;137
