Panjang;STA_AWAL;STA_AKHIR;No;Nm_Ruas;Kondisi;Tipe_Perke;Lebar_STA
951,30;0+000;0+100;2;4001 - JL. PATIMURA;baik;aspal;12
951,30;0+100;0+200;3;4001 - JL. PATIMURA;baik;aspal;12
951,30;0+200;0+300;4;4001 - JL. PATIMURA;baik;aspal;12
951,30;0+300;0+400;5;4001 - JL. PATIMURA;baik;aspal;12
951,30;0+400;0+500;6;4001 - JL. PATIMURA;baik;aspal;12
951,30;0+500;0+600;7;4001 - JL. PATIMURA;baik;aspal;12
951,30;0+600;0+700;8;4001 - JL. PATIMURA;baik;aspal;12
951,30;0+700;0+800;9;4001 - JL. PATIMURA;baik;aspal;12
951,30;0+800;0+900;1;4001 - JL. PATIMURA;baik;aspal;11
951,30;0+900;0+951;10;4001 - JL. PATIMURA;baik;aspal;11
767,04;0+000;0+100;12;4002 - JL. LETJEN SUTOYO;baik;beton;12
767,04;0+100;0+200;13;4002 - JL. LETJEN SUTOYO;baik;beton;12
767,04;0+200;0+300;14;4002 - JL. LETJEN SUTOYO;baik;beton;12
767,04;0+300;0+400;15;4002 - JL. LETJEN SUTOYO;baik;beton;12
767,04;0+400;0+500;16;4002 - JL. LETJEN SUTOYO;baik;beton;12
767,04;0+500;0+600;17;4002 - JL. LETJEN SUTOYO;baik;beton;12
767,04;0+600;0+700;11;4002 - JL. LETJEN SUTOYO;baik;beton;12
767,04;0+700;0+767;18;4002 - JL. LETJEN SUTOYO;baik;beton;12
1577,94;0+000;0+100;20;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;0+100;0+200;21;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;0+200;0+300;22;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;0+300;0+400;23;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;0+400;0+500;24;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;0+500;0+600;25;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;0+600;0+700;26;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;0+700;0+800;27;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;0+800;0+900;28;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;0+900;1+000;29;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;1+000;1+100;30;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;1+100;1+200;31;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;1+200;1+300;32;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;1+300;1+400;33;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;1+400;1+500;19;4003 - JL. S. TENDEAN;baik;beton;11
1577,94;1+500;1+577;34;4003 - JL. S. TENDEAN;baik;beton;11
1170,08;0+000;0+100;36;4004 - JL. DIPONEGORO;baik;aspal;6
1170,08;0+100;0+200;37;4004 - JL. DIPONEGORO;baik;aspal;6
1170,08;0+200;0+300;38;4004 - JL. DIPONEGORO;baik;aspal;6
1170,08;0+300;0+400;39;4004 - JL. DIPONEGORO;baik;aspal;6
1170,08;0+400;0+500;40;4004 - JL. DIPONEGORO;baik;aspal;6
1170,08;0+500;0+600;41;4004 - JL. DIPONEGORO;baik;aspal;6
1170,08;0+600;0+700;42;4004 - JL. DIPONEGORO;baik;aspal;6
1170,08;0+700;0+800;43;4004 - JL. DIPONEGORO;baik;aspal;6
1170,08;0+800;0+900;44;4004 - JL. DIPONEGORO;baik;aspal;6
1170,08;0+900;1+000;45;4004 - JL. DIPONEGORO;baik;aspal;6
1170,08;1+000;1+100;35;4004 - JL. DIPONEGORO;baik;aspal;6
1170,08;1+100;1+170;46;4004 - JL. DIPONEGORO;baik;aspal;6
1075,22;0+000;0+100;48;4005 - JL. SINGOLUDRO;baik;aspal;6
1075,22;0+100;0+200;49;4005 - JL. SINGOLUDRO;baik;aspal;7
1075,22;0+200;0+300;50;4005 - JL. SINGOLUDRO;baik;aspal;7
1075,22;0+300;0+400;51;4005 - JL. SINGOLUDRO;baik;aspal;7
1075,22;0+400;0+500;52;4005 - JL. SINGOLUDRO;baik;aspal;7
