STA_AWAL;STA_AKHIR;Kondisi;Lebar_STA;Nm_Ruas;Panjang;Tipe_Perke;No
0+000;0+100;RB;3;BABADAN LOR I;1240;tanah;1195
0+100;0+200;RB;3;BABADAN LOR I;1240;tanah;1196
0+200;0+300;RB;3;BABADAN LOR I;1240;tanah;1197
0+300;0+400;RB;3;BABADAN LOR I;1240;tanah;1198
0+400;0+500;RB;3;BABADAN LOR I;1240;tanah;1199
0+500;0+600;RB;3;BABADAN LOR I;1240;tanah;1200
0+600;0+700;RB;3;BABADAN LOR I;1240;tanah;1201
0+700;0+800;RB;3;BABADAN LOR I;1240;beton;1202
0+800;0+900;RB;3;BABADAN LOR I;1240;beton;1203
0+900;1+000;RB;3;BABADAN LOR I;1240;beton;1204
1+000;1+100;RB;3;BABADAN LOR I;1240;beton;1205
1+100;1+100;RB;3;BABADAN LOR I;1240;beton;1194
1+200;1+240;RB;3;BABADAN LOR I;1240;beton;1206
0+000;0+100;RR;3;BABADAN LOR II;652;aspal;1207
0+100;0+200;RR;3;BABADAN LOR II;652;aspal;1208
0+200;0+300;RR;3;BABADAN LOR II;652;aspal;1209
0+300;0+400;RR;3;BABADAN LOR II;652;aspal;1210
0+400;0+500;RR;3;BABADAN LOR II;652;aspal;1211
0+500;0+600;RR;3;BABADAN LOR II;652;aspal;1212
0+600;0+652;RR;3;BABADAN LOR II;652;aspal;1213
0+000;0+100;sedang;3;BADER;800;beton;168
0+100;0+200;sedang;3;BADER;800;beton;169
0+200;0+300;sedang;3;BADER;800;beton;170
0+300;0+400;sedang;3;BADER;800;beton;171
0+400;0+500;sedang;3;BADER;800;beton;172
0+500;0+600;sedang;3;BADER;800;beton;173
0+600;0+630;sedang;3;BADER;800;beton;174
0+000;0+100;RB;3.5;BAJULAN;1466;aspal;533
0+100;0+200;RB;3.5;BAJULAN;1466;aspal;534
0+200;0+300;RB;3.5;BAJULAN;1466;aspal;535
0+300;0+400;RB;3.5;BAJULAN;1466;aspal;536
0+400;0+500;RB;3.5;BAJULAN;1466;makadam;537
0+500;0+600;RB;3.5;BAJULAN;1466;aspal;538
0+600;0+700;RB;3.5;BAJULAN;1466;aspal;539
0+700;0+800;RB;3.5;BAJULAN;1466;aspal;540
0+800;0+900;RB;3.5;BAJULAN;1466;aspal;541
0+900;1+000;RB;3.5;BAJULAN;1466;aspal;542
1+000;1+100;RB;3.5;BAJULAN;1466;aspal;543
1+100;1+200;RB;3.5;BAJULAN;1466;aspal;544
1+200;1+300;RB;3.5;BAJULAN;1466;aspal;545
1+300;1+400;RB;3.5;BAJULAN;1466;aspal;546
1+400;1+466;RB;3.5;BAJULAN;1466;aspal;547
0+000;0+100;RR;3.5;BALEREJO I;444;beton;1214
