STA_AWAL,STA_AKHIR,Panjang,Nm_Ruas,Kondisi,Tipe_Perke,Lebar_STA,No
0+100,0+200,286.45102056000,Jl. Baru Mberan,baik,aspal,5,199
0+300,0+400,400.34698249800,Jl. Tani Jaya,baik,aspal,5,487
0+100,0+200,259.44289831100,Jl. Kontak Tani,baik,aspal,5,360
0+600,0+700,763.47946531900,Jl. Tani Unggul,baik,aspal,5,502
0+200,0+300,348.56307107900,Jl. Tani Maju,baik,aspal,5,492
0+400,0+500,578.92875549800,Jl. Tani Murni,baik,aspal,5,496
0+000,0+100,154.12005938600,Jl. Cempaka Gg 4,baik,aspal,5,222
0+000,0+100,119.96597349300,Jl. Gang Anggrek V,baik,aspal,5,248
0+000,0+100,106.00000000000,GG. Anggrek III,baik,aspal,5,1
0+000,0+100,128.72291513100,"Jl.Gg pisang (RT.3,4 RW.1)",baik,makadam,5,549
0+000,0+100,170.07529703700,Jl. Pisang,baik,makadam,5,437
0+000,0+100,171.99455906400,Jl. Pepaya,baik,makadam,5,433
0+200,0+300,343.94479559300,Jl. Bali,baik,makadam,5,193
0+000,0+100,127.55305972100,Jl.Gg. Kertorejan,baik,makadam,5,551
0+000,0+096,96.77506517730,Jl.Gg. Timur Kecamatan,baik,makadam,5,553
0+100,0+200,230.62570930300,Jl. Patimura,baik,makadam,5,412
0+200,0+300,392.04071632200,Jl. Sawung Galing,baik,lapen,5,465
0+100,0+200,224.73984898300,Jl. Gang Buntu,baik,lapen,5,258
0+400,0+500,560.27146413100,Jl. Diponegoro 2,baik,lapen,5,224
0+000,0+100,140.91921476300,Jl. Mawar 1,baik,lapen,5,392
0+200,0+300,301.03466681600,Jl. Mawar 2,baik,lapen,5,394
0+200,0+300,322.08050603000,Jl. Sultan Agung,baik,lapen,5,483
0+600,0+700,706.55355581300,Jalan Mojopurno - Pilangrejo,baik,lapen,5,96
2+600,2+700,2755.36335330000,Jalan Pacing,sedang,lapen,5,113
0+400,0+500,587.05764979500,Jalan Nusa Indah,sedang,tanah,5,107
0+300,0+400,417.67073239800,Jalan Teratai,sedang,tanah,5,162
0+600,0+700,744.54767511700,Jalan Seroja,sedang,tanah,5,143
1+000,1+100,1158.61756835000,Jalan Kenongo,sedang,tanah,5,41
0+300,0+400,428.00000000000,Jalan Kantil,sedang,tanah,5,17
0+200,0+300,368.41040178600,Jalan Mawar,sedang,tanah,5,62
0+200,0+300,343.93457693900,Jalan Melati,sedang,tanah,5,80
0+300,0+400,450.00000000000,Jalan Anthorium,sedang,beton,5,5
0+000,0+100,190.67689615600,Jalan Sruni,sedang,beton,5,156
0+000,0+100,117.52556401100,Jalan Sruni 1,sedang,beton,5,158
0+000,0+100,104.65387142400,Jalan Sedap Malam,sedang,beton,5,141
0+000,0+100,102.49287957200,Jalan Telasih,sedang,beton,5,160
0+000,0+100,240.00000000000,Jalan Anggrek-Mayang Kembar IV,sedang,beton,5,3
0+000,0+100,140.51946476500,Jalan Mayang Kembar,sedang,beton,5,66
0+100,0+200,205.28154719200,Jalan Mayang Kembar I,sedang,beton,5,68
0+100,0+200,208.39409233900,Jalan Mayang Kembar II,sedang,beton,5,71
0+100,0+200,210.84968965700,Jalan Mayang Kembar III,sedang,aspal,5,74
0+100,0+200,202.25105169600,Jalan Mayang Kembar IV,sedang,aspal,5,77
0+100,0+200,261.75094781100,Jalan Wijaya Kusuma,sedang,aspal,5,167
0+100,0+200,267.32192815600,Jalan Wijaya Kusuma I,sedang,aspal,5,170
0+000,0+100,180.06427326300,Jalan Wijaya Kusuma II,sedang,aspal,5,173
0+300,0+400,453.97758610300,Jalan Menur,RR,aspal,5,84
0+100,0+200,262.48882759800,Jalan Menur Gg. 1,RR,aspal,5,89
0+000,0+100,136.06885037100,Jalan Menur Gg. 2,RR,aspal,5,92
0+000,0+089,89.91745507840,Jalan Menur Gg. 3,RR,aspal,5,94
0+000,0+092,92.32386229840,Jalan Menur Gg. 4,RR,makadam,5,95
0+100,0+200,249.70623891300,Jalan Munggut Asri,RR,makadam,5,104
0+100,0+200,215.08135450300,Jalan M Sholeh,RR,makadam,5,59
0+300,0+400,416.00000000000,Jalan Cempaka,RR,makadam,5,10
0+000,0+100,143.90603246200,Jalan Kantil I,RR,makadam,5,32
0+000,0+094,94.87636954640,Jalan Kantil  II,RR,makadam,5,22
0+100,0+200,206.00000000000,Jalan Kantil  III,RR,makadam,5,23
0+200,0+300,303.67359400400,Jalan Kantil  IV,RR,lapen,5,26
0+000,0+065,65.69045217980,Jalan Kantil V,RR,lapen,5,34
0+000,0+100,153.49717392500,Jalan Kantil  VI,RR,lapen,5,30
0+000,0+100,194.00000000000,Jalan Joharmanik,RR,lapen,5,15
0+200,0+300,350.85962043300,Jalan Kenongo 2,RR,lapen,5,53
0+000,0+100,118.11785882400,Jalan Kenongo 3,RR,lapen,5,57
0+200,0+300,364.51156824900,Jalan Sri Rejeki,RR,lapen,5,151
0+000,0+082,82.99055031100,Jalan Sri Rejeki I,RR,lapen,5,155
0+000,0+100,117.02696500500,Jl. Kresno,RR,tanah,5,363
0+000,0+100,106.43465180600,Jl. Sri Dewi,RR,tanah,5,473
0+200,0+300,341.84641018800,Jl. Wijaya,RR,tanah,5,514
0+200,0+300,347.25600437600,Jl. Gatot Kaca,RR,tanah,5,289
0+100,0+200,238.54428715500,Jl. Abiyoso,RR,tanah,5,184
0+700,0+800,801.09230616000,Jl. Baudayang,RR,tanah,5,202
0+100,0+200,220.46953534900,Jl. Remaja,RR,tanah,5,455
0+200,0+300,398.53131854900,Jl. Pemuda,RR,beton,5,415
0+100,0+200,231.27761602000,Jl. Lapangan,RR,beton,5,371
0+000,0+100,173.30814607000,Jl. H.Seto,RR,beton,5,323
0+000,0+100,146.98523460100,Jl. Pemuda Gang VII,RR,beton,5,430
0+000,0+100,102.59598028500,Jl. Pemuda Gang VI,RR,beton,5,428
0+000,0+100,100.83266073900,Jl. Pemuda Gang V,RR,beton,5,427
0+000,0+100,102.56190011100,Jl. Pemuda Gang IV,RR,beton,5,425
0+000,0+100,103.05491504300,Jl. Pemuda Gang III,RR,beton,5,423
0+000,0+100,102.23715400500,Jl. Pemuda Gang II,RR,beton,5,421
0+000,0+100,102.48531581500,Jl. Pemuda Gang I,RR,aspal,5,419
0+000,0+052,52.44597340190,Jl. Pemuda Gang VIII,RR,aspal,5,432
0+000,0+100,188.60183790000,Jl. Baru,RR,aspal,5,197
0+400,0+500,509.88596253200,JALAN KASATRIAN,RR,aspal,5,35
0+500,0+600,607.41213701200,Jl. Ki. Ageng Basyariyah,RR,aspal,5,347
0+500,0+600,687.89343412500,Jl. Masjid,RR,aspal,5,376
0+000,0+037,37.95300377980,Jl. Ki. Ageng Basyariyah Gang 1,RR,aspal,5,354
0+000,0+044,44.42001982480,Jl. Ki. Ageng Basyariyah Gang 2,RR,aspal,5,355
0+000,0+040,40.17851593580,Jl. Ki. Ageng Basyariyah Gang 3,RR,aspal,5,356
0+000,0+053,53.20546031260,Jl. Ki. Ageng Basyariyah Gang 4,RR,makadam,5,357
0+000,0+024,24.11765947120,Jl. Ki. Ageng Basyariyah Gang 5,RR,makadam,5,358
0+000,0+100,191.59929040600,Jl. Kebon Pisang,RR,makadam,5,341
0+000,0+095,95.87961700280,Jl. Wiroto II,RR,makadam,5,519
0+000,0+054,54.63744040560,Jl. Wiroto,RR,makadam,5,518
0+000,0+051,51.57763578450,Jl. Gang Buntu,RR,makadam,5,261
0+000,0+074,74.34236721250,Jl. Puntuk I,RR,makadam,5,446
0+000,0+077,77.89626966720,Jl. Puntuk II,RR,lapen,5,447
0+000,0+100,109.13151624800,Jl. K.A.Moch Basari,RR,lapen,5,328
0+200,0+300,311.56354139100,Jl. Rajawali,RR,lapen,5,448
0+100,0+200,260.32911066300,Jl. Gang Tangah,RR,lapen,5,285
0+000,0+100,197.00801466500,Jl. Iromito,RR,lapen,5,325
0+000,0+100,112.03293487600,Jl. Gang Rukun,RR,lapen,5,273
0+000,0+100,125.11623571900,Jl. Panji 1,RR,lapen,5,406
0+000,0+100,115.64590177500,Jl. Panji 2,RR,lapen,5,408
0+000,0+100,170.99832613800,Jl. Panji 3,RR,tanah,5,410
0+000,0+100,142.13503935400,Jl. Rukun,RR,tanah,5,461
0+000,0+100,118.93223057700,Jl. Arjuno,RR,tanah,5,190
0+000,0+100,136.21529604600,Jl. Rajawali Gg.1,RR,tanah,5,452
0+000,0+051,51.80976690010,Jl. Remaja Gang 1,RR,tanah,5,458
0+000,0+073,73.11720601270,Jl. Arjuno Gg.1,RR,tanah,5,192
0+000,0+052,52.28227242470,Jl. Remaja Gang 2,RR,tanah,5,459
0+000,0+062,62.43509561260,Jl. Remaja Gang 3,RR,beton,5,460
0+000,0+100,131.77265048400,Jl. Gg. Kelurahan,RR,beton,5,318
0+000,0+079,79.57557884910,Jl. Gg. Nanas,RR,beton,5,321
0+000,0+075,75.81176708700,Jl. Gg. Mlinjo,RR,beton,5,320
0+000,0+100,128.68915564200,Jl. Gg. Kelapa,RR,beton,5,316
0+000,0+031,31.98306335400,Jl. Gg Borobudur,RR,beton,5,305
0+000,0+100,110.11086061300,Jl. Gg. Jeruk,RR,beton,5,314
0+000,0+100,106.75507100000,Jl. Gg Trobanyu,RR,beton,5,306
0+000,0+100,103.71499825800,Jl. Gg. Jambe,RR,beton,5,311
0+000,0+100,124.53164984400,Jl. GG. Duren,RR,aspal,5,309
0+000,0+096,96.64691923470,Jl. GG. Jambu,RR,aspal,5,313
0+000,0+024,24.09779999730,Jl. Gg. Apel,RR,aspal,5,308
0+000,0+086,86.76780498570,Jl. Gg. Salak,RR,aspal,5,322
0+300,0+400,439.15696261400,Jl. Bekas Rel,RR,aspal,5,211
0+200,0+300,333.29069857300,Jl. Kanal Kembar (RT.11 RW.5),RR,aspal,5,332
0+100,0+200,213.46466528600,Jl. Sukodono (RT.11 RW.5),RR,aspal,5,480
1+400,1+500,1500.52775078000,Jl.Antarejo,RR,aspal,5,520
1+000,1+100,1138.85027180000,Jl. Gatot Kaca,RR,aspal,5,293
0+700,0+800,806.84988536900,Jl. Abimanyu,RR,makadam,5,175
0+900,1+000,1085.94315009000,Jl.Sentiaki,RR,makadam,5,554
0+000,0+100,138.72230442400,Jl. Werkudoro,RR,makadam,5,512
0+400,0+500,506.54240706400,Jl. Krisna,RR,makadam,5,365
0+000,0+098,98.95963803950,Jl. Gang Bayusuto 1,RR,makadam,5,251
0+000,0+100,130.87169661800,Jl. Gang Bayusuto 2,RR,makadam,5,252
0+000,0+100,135.52926666300,Jl. Gang Bayusuto 3,RR,makadam,5,254
0+000,0+100,143.90000708900,Jl. Gang Bayusuto 4,RR,lapen,5,256
0+100,0+200,206.79818336300,Jl.Gang Asem 1,RR,lapen,5,540
0+000,0+098,98.81405512740,Jl. Gang Asem 2,RR,lapen,5,250
0+000,0+100,148.35298987000,Jl. Selo Barong,RR,lapen,5,469
0+400,0+500,567.71375178000,Jl. Puntodewo,RR,lapen,5,440
0+300,0+400,432.01950779800,Jl. Srikandi,RR,lapen,5,475
0+200,0+300,328.17731869900,Jl. Bendungan Segaran,RR,lapen,5,216
0+000,0+100,123.46328740300,Jl. Bendungan Segaran Barat,RR,lapen,5,220
0+700,0+800,831.38163716300,Jl. Mawar,RR,tanah,5,383
0+000,0+100,118.53146244200,Jl. Kamboja,RR,tanah,5,330
0+200,0+300,389.54491273700,Jl. Ki Ageng Bandar Alim,RR,tanah,5,343
0+400,0+500,502.42341231700,Jl. Melati,RR,tanah,5,398
0+000,0+100,108.40731715800,Jl. Gang Kantil 2,RR,tanah,5,265
0+000,0+051,51.34249030920,Jl. Gang Kantil 3,RR,tanah,5,267
0+300,0+400,425.14209296500,Jl. Kantil,RR,tanah,5,336
0+000,0+064,64.33732617110,Jl. Gang Kasepuhan,RR,beton,5,268
0+000,0+100,198.01287640800,Jl.Gang Gatot Kaca 1,RR,beton,5,543
0+000,0+100,117.68787286100,Jl.Gang Gatot Kaca 2,RR,beton,5,545
0+000,0+100,102.35326719900,Jl.Gang Gatot Kaca 3,RR,beton,5,547
0+000,0+100,126.59416612100,Jl. Gang Cemer 1,RR,beton,5,262
0+000,0+061,61.21934649020,Jl. Gang Cemer 2,RR,beton,5,264
0+000,0+100,198.57722979100,Jl. Gang Abimanyu,RR,beton,5,246
0+000,0+100,133.65194156400,Jl. Petruk,RR,beton,5,435
0+000,0+100,107.69046695100,Jl. Semar,RR,beton,5,471
0+000,0+034,34.27336270670,Jl. Gareng,RR,aspal,5,288
0+000,0+100,195.13213763500,Jl. Gang Sentiaki 2,RB,aspal,5,283
0+200,0+300,399.89229234000,Jl. Gang Sentiaki 1,RB,aspal,5,279
1+200,1+300,1350.30544222000,Jl. Dungus Termulus,RB,aspal,5,230
0+000,0+100,159.93522934400,Jl. Tomat,RB,aspal,5,510
0+200,0+300,329.91722255700,Jl.Chery,RB,aspal,5,536
0+000,0+100,165.95358359100,Jl. Manggis,RB,aspal,5,374
0+000,0+100,103.35599802900,Jl. Gang Mangga,RB,aspal,5,269
0+000,0+097,97.02924411100,Jl. Rambutan,RB,aspal,5,454
0+000,0+098,98.67663945790,Jl. Jambu,RB,makadam,5,327
0+000,0+100,194.23642249000,Jl. Nangka,RB,makadam,5,404
0+000,0+100,106.36471350200,Jl. Durian,RB,makadam,5,244
0+000,0+050,50.59782491660,Jl. Kiwi,RB,makadam,5,359
0+000,0+100,186.74829802700,Jl. Gang Masjid,RB,makadam,5,271
0+000,0+100,165.91978938100,Jl. Arimbi 1,RB,makadam,5,187
0+000,0+056,56.95132012110,Jl. Arimbi 2,RB,makadam,5,189
