No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
1,4001 - JL. PATIMURA,,951,0+800,0+900,,baik,aspal,5,,2022,,,,
11,4002 - JL. LETJEN SUTOYO,,767,0+600,0+700,,baik,aspal,5,,2022,,,,
19,4003 - JL. S. TENDEAN,,1578,1+400,1+500,,baik,aspal,5,,2022,,,,
35,4004 - JL. DIPONEGORO,,1170,1+000,1+100,,baik,aspal,5,,2022,,,,
47,4005 - JL. SINGOLUDRO,,1075,0+900,1+000,,baik,aspal,5,,2022,,,,
58,4006 - JL. KOL. MARHADI,,695,0+500,0+600,,baik,aspal,5,,2022,,,,
65,4007 - JL. MT. HARYONO,,1625,1+500,1+600,,baik,aspal,5,,2022,,,,
82,4008 - JL. H. AGUS SALIM,,697,0+500,0+600,,baik,makadam,5,,2022,,,,
89,4009 - JL. FLAMBOYAN,,445,0+300,0+400,,baik,makadam,5,,2022,,,,
94,4010 - JL. DAHLIA,,118,0+100,0+118,,baik,makadam,5,,2022,,,,
96,4011 - JL. NUSA INDAH,,436,0+300,0+400,,baik,makadam,5,,2022,,,,
101,4012 - JL. KENANGA,,430,0+300,0+400,,baik,makadam,5,,2022,,,,
106,4013 - JL. ANGGREK,,456,0+300,0+400,,baik,makadam,5,,2022,,,,
111,4014 - JL. CEMPAKA,,649,0+500,0+600,,baik,makadam,5,,2022,,,,
118,4015 - JL. TANJUNG,,206,0+100,0+200,,baik,makadam,5,,2022,,,,
121,4016 - JL. MELATI,,262,0+100,0+200,,baik,makadam,5,,2022,,,,
124,4017 - JL. KEMUNING,,553,0+400,0+500,,baik,makadam,5,,2022,,,,
130,4018 - JL. SERUNI,,387,0+200,0+300,,sedang,makadam,5,,2022,,,,
134,4019 - JL. GARUDA,,162,0+100,0+161,,sedang,lapen,5,,2022,,,,
136,4020 - JL. DR. SUTOMO,,665,0+500,0+600,,sedang,lapen,5,,2022,,,,
143,4021 - JL. PENANGGUNGAN,,234,0+100,0+200,,sedang,lapen,5,,2022,,,,
146,4022 - JL. PANDAN,,245,0+100,0+200,,sedang,lapen,5,,2022,,,,
149,4023 - JL. SEMERU,,271,0+100,0+200,,sedang,lapen,5,,2022,,,,
152,4024 - JL. RINJANI,,206,0+100,0+200,,sedang,lapen,5,,2022,,,,
155,4025 - JL. DIENG,,375,0+200,0+300,,sedang,lapen,5,,2022,,,,
159,4026 - JL. SERAYU,,127,0+100,0+127,,sedang,tanah,5,,2022,,,,
161,4027 - JL. CISADANE,,123,0+100,0+122,,sedang,tanah,5,,2022,,,,
163,4028 - JL. MUSI,,370,0+200,0+300,,sedang,tanah,5,,2022,,,,
167,4029 - JL. CITARUM,,130,0+100,0+100,,sedang,tanah,5,,2022,,,,
169,4030 - JL. ANJASMORO,,247,0+100,0+200,,sedang,tanah,5,,2022,,,,
172,4031 - JL. CILIWUNG,,378,0+200,0+300,,sedang,beton,5,,2022,,,,
176,4032 - JL. SINGOLUDRO II,,600,0+400,0+500,,sedang,beton,5,,2022,,,,
182,4033 - JL. BOGO,,834,0+700,0+800,,sedang,beton,5,,2022,,,,
191,4034 - JL. BOGO II,,387,0+200,0+300,,sedang,beton,5,,2022,,,,
195,4035 - JL. KAMBOJA,,565,0+400,0+500,,sedang,beton,5,,2022,,,,
201,4036 - JL. SRIGADING,,492,0+300,0+400,,sedang,aspal,5,,2022,,,,
206,4037 - JL. MELATI I,,173,0+100,0+172,,sedang,aspal,5,,2022,,,,
208,4038 - JL. MELATI II,,263,0+100,0+200,,sedang,aspal,5,,2022,,,,
211,4039 - JL. KUNTO,,2048,1+900,2+000,,RR,aspal,5,,2022,,,,
232,4040 - JL. YOS SUDARSO,,200,0+100,0+199,,RR,aspal,5,,2022,,,,
234,4041 - JL. PRAMBANAN,,482,0+300,0+400,,RR,aspal,5,,2022,,,,
239,4042 - JL. BOROBUDUR,,474,0+300,0+400,,RR,aspal,5,,2022,,,,
244,4043 - JL. KALASAN,,465,0+300,0+400,,RR,makadam,5,,2022,,,,
249,4044 - JL. MENDUT,,218,0+100,0+200,,RR,makadam,5,,2022,,,,
252,4045 - JL. SALAK,,293,0+100,0+200,,RR,makadam,5,,2022,,,,
255,4046 - JL. MANGGA,,229,0+100,0+200,,RR,makadam,5,,2022,,,,
258,4047 - JL. SAWO,,188,0+100,0+187,,RR,makadam,5,,2022,,,,
260,4048 - JL. STASIUN TIMUR,,241,0+100,0+200,,RR,makadam,5,,2022,,,,
263,4049 - JL. SEMANGKA,,354,0+200,0+300,,RR,makadam,5,,2022,,,,
267,4050 - JL. KESEMEK,,197,0+100,0+196,,RR,makadam,5,,2022,,,,
269,4051 - JL. ANGGUR,,253,0+100,0+200,,RR,makadam,5,,2022,,,,
272,4052 - JL. MANGGIS,,261,0+100,0+200,,RR,makadam,5,,2022,,,,
275,4053 - JL. MELON,,146,0+100,0+145,,RR,makadam,5,,2022,,,,
277,4054 - JL. SIRSAK,,146,0+100,0+145,,RR,lapen,5,,2022,,,,
279,4055 - JL. RAMBUTAN,,282,0+100,0+200,,RR,lapen,5,,2022,,,,
282,4056 - JL. JAMBU,,361,0+200,0+300,,RR,lapen,5,,2022,,,,
286,4057 - JL. BISMO,,877,0+700,0+800,,RR,lapen,5,,2022,,,,
295,4058 - JL. PARIKESIT,,783,0+600,0+700,,RR,lapen,5,,2022,,,,
303,4059 - JL. BOLODEWO,,372,0+200,0+300,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
307,4060 - JL. KRESNA,,457,0+300,0+400,,RB,lapen,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
312,4061 - JL. MARKISA RAJA,,610,0+500,0+600,,RB,tanah,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
319,4062 - JL. APEL RAJA,,213,0+100,0+200,,RB,tanah,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
322,4063 - JL. PEPAYA RAJA,,212,0+100,0+200,,RB,tanah,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
336,4065 - JL. SAWO RAJA,,177,0+100,0+176,,RB,tanah,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
344,4067 - JL. KAKAK TUA,,980,0+800,0+900,,RB,tanah,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
354,4068 - JL. KARANGLO I,,1279,1+100,1+200,,RB,beton,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
367,4069 - JL. KARANGLO II,,129,0+100,0+128,,RB,beton,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
374,4071 - JL. SEMBADA,,284,0+100,0+200,,RB,beton,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
377,4072 - JL. KYAI SERANG,,241,0+100,0+200,,RB,beton,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
380,4073 - JL SUHADA HAJI,,1273,1+100,1+200,,RB,beton,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
393,4074 - JL. KUTILANG,,159,0+100,0+159,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
395,4075 - JL. JL. MANYAR,,588,0+400,0+500,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
401,4076 - JL. S. PARMAN,,213,0+100,0+200,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
404,4077 - JL. PANJAITAN,,608,0+500,0+600,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
411,4078 - JL. SUMATRA,,198,0+100,0+197,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
413,4079 - JL. BALI,,90,0+000,0+089,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
414,4080 - JL. KALIMANTAN,,396,0+200,0+300,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
418,4081 - JL. MADURA,,354,0+200,0+300,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
422,4082 - JL. SULAWESI,,192,0+100,0+192,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
424,4083 - JL. FLORES,,95,0+000,0+095,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
425,4084 - JL. SUMBAWA,,212,0+100,0+200,,RB,makadam,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
428,4085 - JL. CENDRAWASIH,,385,0+200,0+300,,baik,makadam,5,,2022,,,,
432,4086 - JL. RAJAWALI,,695,0+500,0+600,,baik,makadam,5,,2022,,,,
439,4087 - JL. MENUR,,319,0+200,0+300,,baik,makadam,5,,2022,,,,
443,4088 - JL. NIAS,,285,0+100,0+200,,baik,makadam,5,,2022,,,,
446,4089 - JL. KENARI,,657,0+500,0+600,,baik,makadam,5,,2022,,,,
453,4090 - JL. PARKIT,,291,0+100,0+200,,baik,makadam,5,,2022,,,,
456,4091 - JL. BETET,,798,0+600,0+700,,baik,makadam,5,,2022,,,,
464,4092 - JL. SRITI,,593,0+400,0+500,,baik,lapen,5,,2022,,,,
471,4094 - JL. CEMPAKA II,,129,0+100,0+128,,baik,lapen,5,,2022,,,,
473,4095 - JL. CEMPAKA III,,153,0+100,0+153,,baik,lapen,5,,2022,,,,
475,4097 - JL. ANGGREK II,,198,0+100,0+197,,baik,lapen,5,,2022,,,,
477,4098 - JL. JUANDA,,2348,2+200,2+300,,baik,lapen,5,,2022,,,,
501,4099 - JL. PROGO,,678,0+500,0+600,,baik,lapen,5,,2022,,,,
508,4101 - JL. RUSUNAWA,,286,0+100,0+200,,baik,lapen,5,,2022,,,,
511,4102 - JL. MERPATI (MEJAYAN),,258,0+100,0+200,,baik,tanah,5,,2022,,,,
514,4103 - JL. IRIAN JAYA,,440,0+300,0+400,,baik,tanah,5,,2022,,,,
519,4104 - JL. PRAWIRO DIPURAN,,361,0+200,0+300,,baik,tanah,5,,2022,,,,
523,4105 - JL. KURMA RAJA,,467,0+300,0+400,,sedang,tanah,5,,2022,,,,
528,4201 - JL. NGAGEL,,1326,1+200,1+300,,sedang,tanah,5,,2022,,,,
542,4202 - JL. JANOKO,,1133,1+000,1+100,,sedang,beton,5,,2022,,,,
554,4203 - JL. SEDAH,,1863,1+700,1+800,,sedang,beton,5,,2022,,,,
573,4204 - JL. SASONO LOYO,,522,0+400,0+500,,sedang,beton,5,,2022,,,,
579,4205 - JL. KEBODALEM,,531,0+400,0+500,,sedang,beton,5,,2022,,,,
585,4206 - JL. SIDODADI,,463,0+300,0+400,,sedang,beton,5,,2022,,,,
590,4207 - JL. TEGALREJO,,2333,2+200,2+300,,sedang,aspal,5,,2022,,,,
614,4208 - JL. NGRAWAN II,,1413,1+300,1+400,,sedang,aspal,5,,2022,,,,
629,4209 - JL. KEMANTREN,,826,0+700,0+800,,sedang,aspal,5,,2022,,,,
638,4210 - JL. NGRAWAN I,,1155,1+000,1+100,,sedang,aspal,5,,2022,,,,
650,4211 - JL. PANCA UPAYA,,962,0+800,0+900,,sedang,aspal,5,,2022,,,,
674,4213 - JL. KERTO RAHARJO,,586,0+400,0+500,,sedang,aspal,5,,2022,,,,
680,4214 - JL. PANJANG PUNJUNG,,2075,1+900,2+000,,sedang,aspal,5,,2022,,,,
701,4215 - JL. GEMAH RIPAH,,713,0+600,0+700,,sedang,makadam,5,,2022,,,,
709,4216 - JL. SIDOASIH,,361,0+200,0+300,,sedang,makadam,5,,2022,,,,
713,4217 - JL. TEGAL ARUM,,1552,1+400,1+500,,sedang,makadam,5,,2022,,,,
729,4218 - JL. SIDOMUKTI,,859,0+700,0+800,,sedang,makadam,5,,2022,,,,
738,4219 - JL. SIDOMULYO,,749,0+600,0+700,,sedang,makadam,5,,2022,,,,
746,4220 - JL. WAKIDUN,,205,0+100,0+200,,sedang,makadam,5,,2022,,,,
749,4221 - JL. SIDO AGUNG,,445,0+300,0+400,,sedang,makadam,5,,2022,,,,
754,4222 - JL. PASIR WUKIR,,385,0+200,0+300,,RR,makadam,5,,2022,,,,
758,4223 - JL. TOTO TERTIB,,414,0+300,0+400,,RR,makadam,5,,2022,,,,
763,4224 - JL. BERBUDI,,486,0+300,0+400,,RR,makadam,5,,2022,,,,
768,4225 - JL. JUWET/SURO,,434,0+300,0+400,,RR,makadam,5,,2022,,,,
773,4226 - JL. PUNDEN,,622,0+500,0+600,,RR,lapen,5,,2022,,,,
780,4227 - JL. PERHUTANI,,747,0+600,0+700,,RR,lapen,5,,2022,,,,
788,4228 - JL. M.I. BUNGA BANGSA,,726,0+600,0+700,,RR,lapen,5,,2022,,,,
796,4229 - JL. M.I. FARHIN,,835,0+700,0+800,,RR,lapen,5,,2022,,,,
805,4230 - JL. WAHID HASYIM,,2271,2+100,2+200,,RR,lapen,5,,2022,,,,
828,4231 - JL. COKRO AMINOTO,,603,0+500,0+600,,RR,lapen,5,,2022,,,,
835,4232 - JL. TENGKU UMAR,,844,0+700,0+800,,RR,lapen,5,,2022,,,,
844,4233 - JL. SANDANG PANGAN,,243,0+100,0+200,,RR,tanah,5,,2022,,,,
847,4234 - JL. TOTO TENTREM,,509,0+400,0+500,,RR,tanah,5,,2022,,,,
853,4235 - JL. LOHJINAWI,,636,0+500,0+600,,RR,tanah,5,,2022,,,,
860,4236 - JL. SANGGRAHAN,,863,0+700,0+800,,RR,tanah,5,,2022,,,,
869,4237 - JL. LAPANGAN BERAN,,425,0+300,0+400,,RR,tanah,5,,2022,,,,
874,4238 - JL. TEGAL ASRI,,1211,1+100,1+200,,RR,beton,5,,2022,,,,
887,4239 - JL. MONTIKAN,,1105,1+000,1+100,,RR,beton,5,,2022,,,,
899,4240 - JL. DIPONEGORO,,774,0+600,0+700,,RR,beton,5,,2022,,,,
907,4241 - JL. RADEN PATAH,,315,0+200,0+300,,RR,beton,5,,2022,,,,
911,4242 - JL. K.H. MOJO I,,413,0+300,0+400,,RB,beton,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
916,4243 - JL. K.H. MOJO II,,271,0+100,0+200,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
919,4244 - JL. AGUS SALIM,,1497,1+300,1+400,,RB,aspal,5,2022,2022,2022-12-27,pemeliharaan rutin,baik,aspal
