Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,Penanganan,Kondisi_Kini,Perke_Kini
4001 - JL. PATIMURA,1,951.29985818500,0+800,0+900,1,,,,,
4002 - JL. LETJEN SUTOYO,11,767.04205801200,0+600,0+700,11,,,,,
4003 - JL. S. TENDEAN,19,1577.94351783000,1+400,1+500,19,,,,,
4004 - JL. DIPONEGORO,35,1170.07889407000,1+000,1+100,35,,,,,
4005 - JL. SINGOLUDRO,47,1075.21828042000,0+900,1+000,47,,,,,
4006 - JL. KOL. MARHADI,58,695.28340880500,0+500,0+600,58,,,,,
4007 - JL. MT. HARYONO,65,1625.38510805000,1+500,1+600,65,,,,,
4008 - JL. H. AGUS SALIM,82,696.67154366900,0+500,0+600,82,,,,,
4009 - JL. FLAMBOYAN,89,444.84859355300,0+300,0+400,89,,,,,
4010 - JL. DAHLIA,94,118.46596733600,0+100,0+118,94,,,,,
4011 - JL. NUSA INDAH,96,436.39962923100,0+300,0+400,96,,,,,
4012 - JL. KENANGA,101,430.16901950000,0+300,0+400,101,,,,,
4013 - JL. ANGGREK,106,455.82925345400,0+300,0+400,106,,,,,
4014 - JL. CEMPAKA,111,648.53833525500,0+500,0+600,111,,,,,
4015 - JL. TANJUNG,118,205.79138812700,0+100,0+200,118,,,,,
4016 - JL. MELATI,121,262.26581516300,0+100,0+200,121,,,,,
4017 - JL. KEMUNING,124,553.06629999800,0+400,0+500,124,,,,,
4018 - JL. SERUNI,130,386.64964338000,0+200,0+300,130,,,,,
4019 - JL. GARUDA,134,161.76861117900,0+100,0+161,134,,,,,
4020 - JL. DR. SUTOMO,136,665.14385003500,0+500,0+600,136,,,,,
4021 - JL. PENANGGUNGAN,143,234.47697718200,0+100,0+200,143,,,,,
4022 - JL. PANDAN,146,244.76979559900,0+100,0+200,146,,,,,
4023 - JL. SEMERU,149,270.75358416200,0+100,0+200,149,,,,,
4024 - JL. RINJANI,152,205.55865545300,0+100,0+200,152,,,,,
4025 - JL. DIENG,155,375.20757709400,0+200,0+300,155,,,,,
4026 - JL. SERAYU,159,127.20048371000,0+100,0+127,159,,,,,
4027 - JL. CISADANE,161,122.91038172000,0+100,0+122,161,,,,,
4028 - JL. MUSI,163,369.66270448100,0+200,0+300,163,,,,,
4029 - JL. CITARUM,167,129.89632832300,0+100,0+100,167,,,,,
4030 - JL. ANJASMORO,169,247.23504242600,0+100,0+200,169,,,,,
4031 - JL. CILIWUNG,172,377.66743090000,0+200,0+300,172,,,,,
4032 - JL. SINGOLUDRO II,176,599.56119156300,0+400,0+500,176,,,,,
4033 - JL. BOGO,182,834.24218159800,0+700,0+800,182,,,,,
4034 - JL. BOGO II,191,386.53061591800,0+200,0+300,191,,,,,
4035 - JL. KAMBOJA,195,565.32962159700,0+400,0+500,195,,,,,
4036 - JL. SRIGADING,201,492.11393880600,0+300,0+400,201,,,,,
4037 - JL. MELATI I,206,172.51194191300,0+100,0+172,206,,,,,
4038 - JL. MELATI II,208,263.19516325000,0+100,0+200,208,,,,,
4039 - JL. KUNTO,211,2048.21134482000,1+900,2+000,211,,,,,
4040 - JL. YOS SUDARSO,232,199.60171612600,0+100,0+199,232,,,,,
4041 - JL. PRAMBANAN,234,481.86077505400,0+300,0+400,234,,,,,
4042 - JL. BOROBUDUR,239,474.23355585300,0+300,0+400,239,,,,,
4043 - JL. KALASAN,244,465.17438971600,0+300,0+400,244,,,,,
4044 - JL. MENDUT,249,218.26553446300,0+100,0+200,249,,,,,
4045 - JL. SALAK,252,292.61760449500,0+100,0+200,252,,,,,
