Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,Penanganan,Kondisi_Kini,Perke_Kini
BABADAN LOR I,1194,1240,1+100,1+100,1194,2022,1 juli 2022,pemeliharaan rutin,,
BABADAN LOR I,1195,1240,0+000,0+100,1195,,,,,
BABADAN LOR I,1196,1240,0+100,0+200,1196,,,,,
BABADAN LOR I,1197,1240,0+200,0+300,1197,,,,,
BABADAN LOR I,1198,1240,0+300,0+400,1198,,,,,
BABADAN LOR I,1199,1240,0+400,0+500,1199,,,,,
BABADAN LOR I,1200,1240,0+500,0+600,1200,,,,,
BABADAN LOR I,1201,1240,0+600,0+700,1201,,,,,
BABADAN LOR I,1202,1240,0+700,0+800,1202,,,,,
BABADAN LOR I,1203,1240,0+800,0+900,1203,,,,,
BABADAN LOR I,1204,1240,0+900,1+000,1204,,,,,
BABADAN LOR I,1205,1240,1+000,1+100,1205,,,,,
BABADAN LOR I,1206,1240,1+200,1+240,1206,,,,,
BABADAN LOR II,1207,652,0+000,0+100,1207,,,,,
BABADAN LOR II,1208,652,0+100,0+200,1208,,,,,
BABADAN LOR II,1209,652,0+200,0+300,1209,,,,,
BABADAN LOR II,1210,652,0+300,0+400,1210,,,,,
BABADAN LOR II,1211,652,0+400,0+500,1211,,,,,
BABADAN LOR II,1212,652,0+500,0+600,1212,,,,,
BABADAN LOR II,1213,652,0+600,0+652,1213,,,,,
BAJULAN,533,1466,0+000,0+100,533,,,,,
BAJULAN,534,1466,0+100,0+200,534,,,,,
BAJULAN,535,1466,0+200,0+300,535,,,,,
BAJULAN,536,1466,0+300,0+400,536,,,,,
BAJULAN,537,1466,0+400,0+500,537,,,,,
BAJULAN,538,1466,0+500,0+600,538,,,,,
BAJULAN,539,1466,0+600,0+700,539,,,,,
BAJULAN,540,1466,0+700,0+800,540,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
BAJULAN,541,1466,0+800,0+900,541,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
