Name;NO;STA_AWAL;STA_AKHIR;PANJANG;Fungsi;Kondisi;Tp_Perkera;Lebar_STA
BABADAN LOR I;1194;1+100;1+100;1240,00000000000;Jalan Lokal Primer;sedang;aspal;6
BABADAN LOR I;1195;0+000;0+100;1240,00000000000;Jalan Lokal Primer;RR;aspal;6
BABADAN LOR I;1196;0+100;0+200;1240,00000000000;Jalan Lokal Primer;RB;aspal;6
BABADAN LOR I;1197;0+200;0+300;1240,00000000000;Jalan Lokal Primer;baik;aspal;6
BABADAN LOR I;1198;0+300;0+400;1240,00000000000;Jalan Lokal Primer;sedang;aspal;6
BABADAN LOR I;1199;0+400;0+500;1240,00000000000;Jalan Lokal Primer;RR;aspal;6
BABADAN LOR I;1200;0+500;0+600;1240,00000000000;Jalan Lokal Primer;RB;aspal;6
BABADAN LOR I;1201;0+600;0+700;1240,00000000000;Jalan Lokal Primer;baik;aspal;6
BABADAN LOR I;1202;0+700;0+800;1240,00000000000;Jalan Lokal Primer;sedang;aspal;6
BABADAN LOR I;1203;0+800;0+900;1240,00000000000;Jalan Lokal Primer;RR;aspal;6
BABADAN LOR I;1204;0+900;1+000;1240,00000000000;Jalan Lokal Primer;RB;aspal;6
BABADAN LOR I;1205;1+000;1+100;1240,00000000000;Jalan Lokal Primer;baik;aspal;6
BABADAN LOR I;1206;1+200;1+240;1240,00000000000;Jalan Lokal Primer;sedang;aspal;6
BABADAN LOR II;1207;0+000;0+100;652,00000000000;Jalan Lokal Primer;RR;aspal;6
BABADAN LOR II;1208;0+100;0+200;652,00000000000;Jalan Lokal Primer;RB;aspal;6
BABADAN LOR II;1209;0+200;0+300;652,00000000000;Jalan Lokal Primer;baik;aspal;6
BABADAN LOR II;1210;0+300;0+400;652,00000000000;Jalan Lokal Primer;sedang;aspal;6
BABADAN LOR II;1211;0+400;0+500;652,00000000000;Jalan Lokal Primer;RR;aspal;6
BABADAN LOR II;1212;0+500;0+600;652,00000000000;Jalan Lokal Primer;RB;aspal;6
BABADAN LOR II;1213;0+600;0+652;652,00000000000;Jalan Lokal Primer;baik;aspal;6
BAJULAN;533;0+000;0+100;1466,00000000000;Jalan Lokal Primer;sedang;aspal;6
BAJULAN;534;0+100;0+200;1466,00000000000;Jalan Lokal Primer;RR;aspal;6
BAJULAN;535;0+200;0+300;1466,00000000000;Jalan Lokal Primer;RB;aspal;6
BAJULAN;536;0+300;0+400;1466,00000000000;Jalan Lokal Primer;baik;aspal;6
BAJULAN;537;0+400;0+500;1466,00000000000;Jalan Lokal Primer;sedang;aspal;6
BAJULAN;538;0+500;0+600;1466,00000000000;Jalan Lokal Primer;RR;aspal;6
BAJULAN;539;0+600;0+700;1466,00000000000;Jalan Lokal Primer;RB;aspal;6
BAJULAN;540;0+700;0+800;1466,00000000000;Jalan Lokal Primer;baik;aspal;6
BAJULAN;541;0+800;0+900;1466,00000000000;Jalan Lokal Primer;sedang;aspal;6
BAJULAN;542;0+900;1+000;1466,00000000000;Jalan Lokal Primer;RR;aspal;6
BAJULAN;543;1+000;1+100;1466,00000000000;Jalan Lokal Primer;RB;aspal;6
BAJULAN;544;1+100;1+200;1466,00000000000;Jalan Lokal Primer;baik;aspal;6
BAJULAN;545;1+200;1+300;1466,00000000000;Jalan Lokal Primer;sedang;aspal;6
BAJULAN;546;1+300;1+400;1466,00000000000;Jalan Lokal Primer;RR;aspal;6
BAJULAN;547;1+400;1+466;1466,00000000000;Jalan Lokal Primer;RB;aspal;6
BADER;168;0+000;0+100;800,00000000000;Jalan Lokal Primer;baik;aspal;6
BADER;169;0+100;0+200;800,00000000000;Jalan Lokal Primer;sedang;aspal;6
BADER;170;0+200;0+300;800,00000000000;Jalan Lokal Primer;RR;aspal;6
BADER;171;0+300;0+400;800,00000000000;Jalan Lokal Primer;RB;aspal;6
BADER;172;0+400;0+500;800,00000000000;Jalan Lokal Primer;baik;aspal;6
BADER;173;0+500;0+600;800,00000000000;Jalan Lokal Primer;sedang;aspal;6
BADER;174;0+600;0+630;800,00000000000;Jalan Lokal Primer;RR;aspal;6
BALEREJO I;1214;0+000;0+100;444,00000000000;Jalan Lokal Primer;RB;aspal;6
BALEREJO I;1215;0+100;0+200;444,00000000000;Jalan Lokal Primer;baik;aspal;6
BALEREJO I;1216;0+200;0+300;444,00000000000;Jalan Lokal Primer;sedang;aspal;6
BALEREJO I;1217;0+300;0+400;444,00000000000;Jalan Lokal Primer;RR;aspal;6
BALEREJO I;1218;0+400;0+444;444,00000000000;Jalan Lokal Primer;RB;aspal;6
BALEREJO II;1219;0+000;0+100;444,30074355900;Jalan Lokal Primer;baik;aspal;6
BALEREJO II;1220;0+100;0+200;444,30074355900;Jalan Lokal Primer;sedang;aspal;6
BALEREJO II;1221;0+200;0+300;444,30074355900;Jalan Lokal Primer;RR;aspal;6
BALEREJO II;1222;0+300;0+400;444,30074355900;Jalan Lokal Primer;RB;aspal;6
BALEREJO II;1223;0+400;0+444;444,30074355900;Jalan Lokal Primer;baik;aspal;6
BANARAN;1143;0+000;0+100;1312,77354866000;Jalan Lokal Primer;sedang;aspal;6
BANARAN;1144;0+100;0+200;1312,77354866000;Jalan Lokal Primer;RR;aspal;6
BANARAN;1145;0+200;0+300;1312,77354866000;Jalan Lokal Primer;RB;aspal;6
BANARAN;1146;0+300;0+400;1312,77354866000;Jalan Lokal Primer;baik;aspal;6
BANARAN;1147;0+400;0+500;1312,77354866000;Jalan Lokal Primer;sedang;aspal;6
BANARAN;1148;0+500;0+600;1312,77354866000;Jalan Lokal Primer;RR;aspal;6
BANARAN;1149;0+600;0+700;1312,77354866000;Jalan Lokal Primer;RB;aspal;6
BANARAN;1150;0+700;0+800;1312,77354866000;Jalan Lokal Primer;baik;aspal;6
BANARAN;1151;0+800;0+900;1312,77354866000;Jalan Lokal Primer;sedang;aspal;6
BANARAN;1152;0+900;1+000;1312,77354866000;Jalan Lokal Primer;RR;aspal;6
BANARAN;1153;1+000;1+100;1312,77354866000;Jalan Lokal Primer;RB;aspal;6
BANARAN;1154;1+100;1+200;1312,77354866000;Jalan Lokal Primer;baik;aspal;6
BANARAN;1155;1+200;1+300;1312,77354866000;Jalan Lokal Primer;sedang;aspal;6
BANARAN;1156;1+300;1+312;1312,77354866000;Jalan Lokal Primer;RR;aspal;6
BANCONG;956;0+000;0+100;1137,29828796000;Jalan Lokal Primer;RB;aspal;6
BANCONG;957;0+100;0+200;1137,29828796000;Jalan Lokal Primer;baik;aspal;6
BANCONG;958;0+200;0+300;1137,29828796000;Jalan Lokal Primer;sedang;aspal;6
BANCONG;959;0+300;0+400;1137,29828796000;Jalan Lokal Primer;RR;aspal;6
BANCONG;960;0+400;0+500;1137,29828796000;Jalan Lokal Primer;RB;aspal;6
BANCONG;961;0+500;0+600;1137,29828796000;Jalan Lokal Primer;baik;aspal;6
BANCONG;962;0+600;0+700;1137,29828796000;Jalan Lokal Primer;sedang;aspal;6
BANCONG;963;0+700;0+800;1137,29828796000;Jalan Lokal Primer;RR;aspal;6
BANCONG;964;0+800;0+900;1137,29828796000;Jalan Lokal Primer;RB;aspal;6
BANCONG;965;0+900;1+000;1137,29828796000;Jalan Lokal Primer;baik;aspal;6
BANCONG;966;1+000;1+100;1137,29828796000;Jalan Lokal Primer;sedang;aspal;6
BANCONG;967;1+100;1+137;1137,29828796000;Jalan Lokal Primer;RR;aspal;6
BANDUNGAN;548;0+000;0+100;726,78286876600;Jalan Lokal Primer;RB;aspal;6
BANDUNGAN;549;0+100;0+200;726,78286876600;Jalan Lokal Primer;baik;aspal;6
BANDUNGAN;550;0+200;0+300;726,78286876600;Jalan Lokal Primer;sedang;aspal;6
BANDUNGAN;551;0+300;0+400;726,78286876600;Jalan Lokal Primer;RR;aspal;6
BANDUNGAN;552;0+400;0+500;726,78286876600;Jalan Lokal Primer;RB;aspal;6
BANDUNGAN;553;0+500;0+600;726,78286876600;Jalan Lokal Primer;baik;aspal;6
BANDUNGAN;554;0+600;0+700;726,78286876600;Jalan Lokal Primer;sedang;aspal;6
BANDUNGAN;555;0+700;0+726;726,78286876600;Jalan Lokal Primer;RR;aspal;6
BANJARSARI KULON;214;0+000;0+100;3026,10034878000;Jalan Lokal Primer;RB;aspal;6
BANJARSARI KULON;215;0+100;0+200;3026,10034878000;Jalan Lokal Primer;baik;aspal;6
BANJARSARI KULON;216;0+200;0+300;3026,10034878000;Jalan Lokal Primer;sedang;aspal;6
BANJARSARI KULON;217;0+300;0+400;3026,10034878000;Jalan Lokal Primer;RR;aspal;6
BANJARSARI KULON;218;0+400;0+500;3026,10034878000;Jalan Lokal Primer;RB;aspal;6
BANJARSARI KULON;219;0+500;0+600;3026,10034878000;Jalan Lokal Primer;baik;aspal;6
BANJARSARI KULON;220;0+600;0+700;3026,10034878000;Jalan Lokal Primer;sedang;aspal;6
BANJARSARI KULON;221;0+700;0+800;3026,10034878000;Jalan Lokal Primer;RR;aspal;6
BANJARSARI KULON;222;0+800;0+900;3026,10034878000;Jalan Lokal Primer;RB;aspal;6
BANJARSARI KULON;223;0+900;1+000;3026,10034878000;Jalan Lokal Primer;baik;aspal;6
BANJARSARI KULON;224;1+000;1+100;3026,10034878000;Jalan Lokal Primer;sedang;aspal;6
