No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
5724,"Jl. Pilangkenceng-Pulerejo",123,2,1+500,1+600,,baik,aspal,6,,2022,,,,
5462,"Jl. Kenongorejo-Dawuhan",114,3,3+400,3+500,,baik,aspal,6,,2022,,,,
83,"Jl. Bajulan-Kenongorejo",002,5,5+200,5+300,,baik,aspal,6,,2022,,,,
3092,"Jl. Purworejo-Ngampel",054,2,1+900,2+000,,baik,aspal,6,,2022,,,,
3145,"Jl. Krapyak-Sumbergandu",056,5,4+900,5+000,,baik,aspal,6,,2022,,,,
954,"Jl. Muneng-Kenongorejo",015,8,7+400,7+500,,baik,aspal,6,,2022,,,,
5678,"Jl. Krebet-Batas Ngawi",121,2,2+000,2+100,,baik,aspal,6,,2022,,,,
5600,"Jl. Gandul-Kenongorejo",117,1,0+900,1+000,,baik,aspal,6,,2022,,,,
5575,"Jl. Kenongorejo-Bulu",116,2,2+300,2+400,,baik,aspal,6,,2022,,,,
5498,"Jl. Bulu-Batas Bojonegoro",115,8,7+500,7+600,,baik,aspal,6,,2022,,,,
5611,"Jl. Gandul-Batas Bojonegoro",118,2,1+400,1+500,,baik,aspal,6,,2022,,,,
5627,"Jl. Luworo-Batas Ngawi",119,3,2+900,3+000,,baik,aspal,6,,2022,,,,
5046,"Jl. Bandungan-Batas Nganjuk",103,3,0+100,0+200,,baik,aspal,6,,2022,,,,
5074,"Jl. Klangon-Batas Nganjuk",104,2,2+500,2+600,,baik,aspal,6,,2022,,,,
5101,"Jl. Tulung-Klangon",105,14,13+900,14+000,,baik,aspal,6,,2022,,,,
788,"Jl. Ngepeh-Tulung",011,6,5+600,5+700,,baik,aspal,6,,2022,,,,
1910,"Jl. Sumbergandu-Tulung",030,4,0+100,0+200,,baik,aspal,6,,2022,,,,
5439,"Jl. Duren-Dawuhan",113,2,2+100,2+200,,baik,aspal,6,,2022,,,,
5406,"Jl. Kedungmaron-Bener",111,1,1+300,1+400,,baik,aspal,6,,2022,,,,
5329,"Jl. Bajulan-Duren",109,4,3+600,3+700,,baik,aspal,6,,2022,,,,
738,"Jl. Kaligunting-Bajulan",010,5,4+800,4+900,,baik,aspal,6,,2022,,,,
5316,"Jl. Bongsopotro-Sukorejo",108,1,1+100,1+200,,baik,makadam,6,,2022,,,,
3227,"Jl. Sidorejo-Klumutan",058,3,3+000,3+100,,baik,makadam,6,,2022,,,,
3259,"Jl. Kopen-Bongsopotro",059,3,3+300,3+400,,baik,makadam,6,,2022,,,,
3113,"Jl. Purworejo-Kedungrejo",055,3,3+000,3+100,,baik,makadam,6,,2022,,,,
5700,"Jl. Pilangkenceng-Luworo",122,2,2+200,2+300,,baik,makadam,6,,2022,,,,
3196,"Jl. Krapyak-Krebet",057,3,2+900,3+000,,baik,makadam,6,,2022,,,,
3012,"Jl. Sumberbening-Krapyak",052,4,3+800,3+900,,baik,makadam,6,,2022,,,,
3052,"Jl. Krapyak-Babadanlor",053,4,3+800,3+900,,baik,makadam,6,,2022,,,,
