No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
1194,BABADAN LOR I,,1240,1+100,1+100,,baik,aspal,4,,2022,,,,
1195,BABADAN LOR I,,1240,0+000,0+100,,baik,aspal,4,,2022,,,,
1196,BABADAN LOR I,,1240,0+100,0+200,,baik,aspal,4,,2022,,,,
1197,BABADAN LOR I,,1240,0+200,0+300,,baik,aspal,4,,2022,,,,
1198,BABADAN LOR I,,1240,0+300,0+400,,baik,aspal,4,,2022,,,,
1199,BABADAN LOR I,,1240,0+400,0+500,,baik,aspal,4,,2022,,,,
1200,BABADAN LOR I,,1240,0+500,0+600,,baik,aspal,4,,2022,,,,
1201,BABADAN LOR I,,1240,0+600,0+700,,baik,aspal,4,,2022,,,,
1202,BABADAN LOR I,,1240,0+700,0+800,,baik,aspal,4,,2022,,,,
1203,BABADAN LOR I,,1240,0+800,0+900,,baik,makadam,4,,2022,,,,
1204,BABADAN LOR I,,1240,0+900,1+000,,baik,makadam,4,,2022,,,,
1205,BABADAN LOR I,,1240,1+000,1+100,,baik,makadam,4,,2022,,,,
1206,BABADAN LOR I,,1240,1+200,1+240,,baik,makadam,4,,2022,,,,
1207,BABADAN LOR II,,652,0+000,0+100,,sedang,makadam,4,,2022,,,,
1208,BABADAN LOR II,,652,0+100,0+200,,sedang,lapen,4,,2022,,,,
1209,BABADAN LOR II,,652,0+200,0+300,,sedang,lapen,4,,2022,,,,
1210,BABADAN LOR II,,652,0+300,0+400,,sedang,lapen,4,,2022,,,,
1211,BABADAN LOR II,,652,0+400,0+500,,sedang,lapen,4,,2022,,,,
1212,BABADAN LOR II,,652,0+500,0+600,,sedang,lapen,4,,2022,,,,
1213,BABADAN LOR II,,652,0+600,0+652,,sedang,lapen,4,,2022,,,,
533,BAJULAN,,1466,0+000,0+100,,sedang,lapen,4,,2022,,,,
534,BAJULAN,,1466,0+100,0+200,,sedang,lapen,4,,2022,,,,
535,BAJULAN,,1466,0+200,0+300,,RR,lapen,4,,2022,,,,
536,BAJULAN,,1466,0+300,0+400,,RR,tanah,4,,2022,,,,
537,BAJULAN,,1466,0+400,0+500,,RR,tanah,4,,2022,,,,
538,BAJULAN,,1466,0+500,0+600,,RR,tanah,4,,2022,,,,
539,BAJULAN,,1466,0+600,0+700,,RR,tanah,4,,2022,,,,
540,BAJULAN,,1466,0+700,0+800,,RB,tanah,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
541,BAJULAN,,1466,0+800,0+900,,RB,tanah,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
542,BAJULAN,,1466,0+900,1+000,,RB,beton,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
543,BAJULAN,,1466,1+000,1+100,,RB,beton,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
544,BAJULAN,,1466,1+100,1+200,,RB,beton,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
545,BAJULAN,,1466,1+200,1+300,,RB,beton,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
546,BAJULAN,,1466,1+300,1+400,,RB,beton,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
547,BAJULAN,,1466,1+400,1+466,,RB,beton,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
168,BADER,,800,0+000,0+100,,RB,beton,4,2023,2022,2023-01-11,pemeliharaan rutin,baik,aspal
169,BADER,,800,0+100,0+200,,baik,beton,4,,2022,,,,
170,BADER,,800,0+200,0+300,,baik,beton,4,,2022,,,,
171,BADER,,800,0+300,0+400,,baik,beton,4,,2022,,,,
172,BADER,,800,0+400,0+500,,baik,beton,4,,2022,,,,
173,BADER,,800,0+500,0+600,,baik,beton,4,,2022,,,,
174,BADER,,800,0+600,0+630,,baik,beton,4,,2022,,,,
1214,BALEREJO I,,444,0+000,0+100,,baik,aspal,4,,2022,,,,
1215,BALEREJO I,,444,0+100,0+200,,baik,aspal,4,,2022,,,,
1216,BALEREJO I,,444,0+200,0+300,,baik,aspal,4,,2022,,,,
1217,BALEREJO I,,444,0+300,0+400,,baik,aspal,4,,2022,,,,
1218,BALEREJO I,,444,0+400,0+444,,baik,aspal,4,,2022,,,,
1219,BALEREJO II,,444,0+000,0+100,,baik,aspal,4,,2022,,,,
1220,BALEREJO II,,444,0+100,0+200,,baik,aspal,4,,2022,,,,
1221,BALEREJO II,,444,0+200,0+300,,sedang,aspal,4,,2022,,,,
1222,BALEREJO II,,444,0+300,0+400,,sedang,aspal,4,,2022,,,,
1223,BALEREJO II,,444,0+400,0+444,,sedang,makadam,4,,2022,,,,
1143,BANARAN,,1313,0+000,0+100,,sedang,makadam,4,,2022,,,,
1144,BANARAN,,1313,0+100,0+200,,sedang,makadam,4,,2022,,,,
