Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,No,Tahun,Date,penanganan,Kondisi_Kini,Perke_Kini
Jl. Balerejo-Muneng,004,7.800,1+100,1+200,294,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,1+200,1+300,295,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,1+300,1+400,296,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,1+400,1+500,297,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,1+500,1+600,298,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,1+600,1+700,299,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,1+700,1+800,300,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,1+800,1+900,301,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,1+900,2+000,302,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,2+000,2+100,303,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,2+100,2+200,304,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,2+200,2+300,305,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,2+300,2+400,306,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,2+400,2+500,307,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,2+500,2+600,308,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,2+600,2+700,309,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,2+700,2+800,310,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,2+800,2+900,311,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,2+900,3+000,312,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,3+000,3+100,313,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,3+100,3+200,314,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,3+200,3+300,315,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,3+300,3+400,316,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,3+400,3+500,317,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,3+500,3+600,318,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,3+600,3+700,319,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,3+700,3+800,320,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,3+800,3+900,321,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,3+900,4+000,322,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,4+000,4+100,323,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,4+100,4+200,324,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,4+200,4+300,325,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,4+300,4+400,326,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,4+400,4+500,327,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,4+500,4+600,328,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,4+600,4+700,329,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,4+700,4+800,330,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,4+800,4+900,331,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,4+900,5+000,332,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,5+000,5+100,333,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,5+100,5+200,334,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,5+200,5+300,335,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,5+300,5+400,336,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,5+400,5+500,337,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,5+500,5+600,338,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,5+600,5+700,339,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,5+700,5+800,340,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,5+800,5+900,341,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,5+900,6+000,342,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,6+000,6+100,343,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,6+100,6+200,344,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,6+200,6+300,345,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,6+300,6+400,346,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,6+400,6+500,347,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,6+500,6+600,348,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,6+600,6+700,349,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,6+700,6+800,350,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,6+800,6+900,351,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,6+900,7+000,352,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,7+000,7+100,353,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,7+100,7+200,354,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,7+200,7+300,355,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,7+300,7+400,356,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,7+400,7+500,357,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,7+500,7+600,358,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,7+600,7+700,359,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Balerejo-Muneng,004,7.800,7+800,7+836,360,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,0+000,0+100,362,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,0+100,0+200,363,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,0+200,0+300,364,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,0+300,0+400,365,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,0+400,0+500,366,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,0+500,0+600,367,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,0+600,0+700,368,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,0+700,0+800,369,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,0+800,0+900,370,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,0+900,1+000,371,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,1+000,1+100,372,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,1+100,1+200,373,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,1+200,1+300,374,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,1+300,1+400,375,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,1+400,1+500,376,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,1+500,1+600,377,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,1+600,1+700,378,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Pagotan-Dagangan,005,1.840,1+800,1+847,379,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,0+000,0+100,381,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,0+100,0+200,382,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,0+200,0+300,383,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,0+300,0+400,384,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,0+400,0+500,385,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,0+500,0+600,386,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,0+600,0+700,387,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,0+700,0+800,388,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,0+800,0+900,389,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,0+900,1+000,390,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,1+000,1+100,391,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,1+100,1+200,392,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,1+200,1+300,393,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,1+300,1+400,394,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,1+400,1+500,395,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,1+500,1+600,396,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,1+600,1+700,397,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,1+700,1+800,398,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,1+800,1+900,399,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
Jl. Uteran-Batas Magetan,006,7.110,1+900,2+000,400,2022,1 juli 2022,pemeliharaan rutin,baik,aspal
