No,Nm_Ruas,Kd_Inf,Panjang,STA_AWAL,STA_AKHIR,Fungsi,Kondisi,Tipe_Perke,Lebar_STA,Tahun_Reali,tahun,Tgl,Penanganan,Kondisi_Kini,Perke_Kini
199,Jl. Baru Mberan,,286,0+100,0+200,,baik,aspal,5,,2022,,,,
487,Jl. Tani Jaya,,400,0+300,0+400,,baik,aspal,5,,2022,,,,
360,Jl. Kontak Tani,,259,0+100,0+200,,baik,aspal,5,,2022,,,,
502,Jl. Tani Unggul,,763,0+600,0+700,,baik,aspal,5,,2022,,,,
492,Jl. Tani Maju,,349,0+200,0+300,,baik,aspal,5,,2022,,,,
496,Jl. Tani Murni,,579,0+400,0+500,,baik,aspal,5,,2022,,,,
222,Jl. Cempaka Gg 4,,154,0+000,0+100,,baik,aspal,5,,2022,,,,
248,Jl. Gang Anggrek V,,120,0+000,0+100,,baik,aspal,5,,2022,,,,
1,GG. Anggrek III,,106,0+000,0+100,,baik,aspal,5,,2022,,,,
549,Jl.Gg pisang (RT.3,4 RW.1),,129,0+000,0+100,,baik,makadam,5,,2022,,,,
437,Jl. Pisang,,170,0+000,0+100,,baik,makadam,5,,2022,,,,
433,Jl. Pepaya,,172,0+000,0+100,,baik,makadam,5,,2022,,,,
193,Jl. Bali,,344,0+200,0+300,,baik,makadam,5,,2022,,,,
551,Jl.Gg. Kertorejan,,128,0+000,0+100,,baik,makadam,5,,2022,,,,
553,Jl.Gg. Timur Kecamatan,,97,0+000,0+096,,baik,makadam,5,,2022,,,,
412,Jl. Patimura,,231,0+100,0+200,,baik,makadam,5,,2022,,,,
465,Jl. Sawung Galing,,392,0+200,0+300,,baik,lapen,5,,2022,,,,
258,Jl. Gang Buntu,,225,0+100,0+200,,baik,lapen,5,,2022,,,,
224,Jl. Diponegoro 2,,560,0+400,0+500,,baik,lapen,5,,2022,,,,
392,Jl. Mawar 1,,141,0+000,0+100,,baik,lapen,5,,2022,,,,
394,Jl. Mawar 2,,301,0+200,0+300,,baik,lapen,5,,2022,,,,
483,Jl. Sultan Agung,,322,0+200,0+300,,baik,lapen,5,,2022,,,,
96,Jalan Mojopurno - Pilangrejo,,707,0+600,0+700,,baik,lapen,5,,2022,,,,
113,Jalan Pacing,,2755,2+600,2+700,,sedang,lapen,5,,2022,,,,
107,Jalan Nusa Indah,,587,0+400,0+500,,sedang,tanah,5,,2022,,,,
162,Jalan Teratai,,418,0+300,0+400,,sedang,tanah,5,,2022,,,,
143,Jalan Seroja,,745,0+600,0+700,,sedang,tanah,5,,2022,,,,
41,Jalan Kenongo,,1159,1+000,1+100,,sedang,tanah,5,,2022,,,,
17,Jalan Kantil,,428,0+300,0+400,,sedang,tanah,5,,2022,,,,
62,Jalan Mawar,,368,0+200,0+300,,sedang,tanah,5,,2022,,,,
80,Jalan Melati,,344,0+200,0+300,,sedang,tanah,5,,2022,,,,
5,Jalan Anthorium,,450,0+300,0+400,,sedang,beton,5,,2022,,,,
156,Jalan Sruni,,191,0+000,0+100,,sedang,beton,5,,2022,,,,
158,Jalan Sruni 1,,118,0+000,0+100,,sedang,beton,5,,2022,,,,
141,Jalan Sedap Malam,,105,0+000,0+100,,sedang,beton,5,,2022,,,,
160,Jalan Telasih,,102,0+000,0+100,,sedang,beton,5,,2022,,,,
3,Jalan Anggrek-Mayang Kembar IV,,240,0+000,0+100,,sedang,beton,5,,2022,,,,
